name,node_type,ipv6,principal,subnet,physical_system
mercury.an1-dll01.531,external,2001:920:401a:1708:6801:5ff:feb2:5e11,5jo56-bxsxy-ocmas-lzhqq-hvtc3-7iwps-76qyk-abz3u-rn3xr-ya23r-4qe,tdb26-jop6k-aogll-7ltgs-eruif-6kk7m-qpktf-gdiqx-mxtrf-vb5e6-eqe,an1-dll01.an1.dfinity.network
mercury.an1-dll02.25,external,2001:920:401a:1708:6801:e0ff:fe2b:241b,vseni-vzy4e-u7lnq-k4bdl-7koxk-hfhx3-dyvbc-jbvww-4aiuw-w4xrk-yae,unassigned,an1-dll02.an1.dfinity.network
mercury.an1-dll03.180,external,2001:920:401a:1708:6801:8cff:fede:e347,kby7l-tpmyp-ntea5-g4kn2-gkwrc-fbjbo-6pjgz-gaoz7-owtct-welil-pae,o3ow2-2ipam-6fcjo-3j5vt-fzbge-2g7my-5fz2m-p4o2t-dwlc4-gt2q7-5ae,an1-dll03.an1.dfinity.network
mercury.an1-dll04.115,external,2001:920:401a:1708:6801:b4ff:fed6:4ecb,rbr7v-biuga-7kvyt-bmptt-qzqaf-mizsl-5be3p-tfszx-akpur-j62co-cqe,unassigned,an1-dll04.an1.dfinity.network
mercury.an1-dll05.234,external,2001:920:401a:1708:6801:8dff:fe6c:7e2a,2cov2-kcta2-rsiae-jvmot-jhp4z-kmq7n-75e35-4dvf7-tobjm-ml4lt-bqe,unassigned,an1-dll05.an1.dfinity.network
mercury.an1-dll06.206,external,2001:920:401a:1708:6801:caff:feba:c495,tlv7f-uljzk-bihml-mjq5v-qqoup-cdapz-ecuyd-b4bez-k45ib-ljtay-rqe,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,an1-dll06.an1.dfinity.network
mercury.an1-dll07.87,external,2001:920:401a:1708:6801:d4ff:fe99:1330,7ip7l-crn4t-bmbgn-yqmaa-3igqp-a444k-ozelm-dd7cp-p7rmm-3zwrx-wqe,unassigned,an1-dll07.an1.dfinity.network
mercury.an1-dll08.231,external,2001:920:401a:1708:6801:e0ff:fe51:ff18,kcv4a-pltml-ux6to-476gm-bihz5-vb5rc-zi7d5-moydx-irkw4-qt3ru-qae,4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe,an1-dll08.an1.dfinity.network
mercury.an1-dll09.219,external,2001:920:401a:1708:6801:1fff:feea:faa7,lt3wc-g6uvu-v3jcj-qaxlz-nuoen-oof5g-neahy-44h6g-4uqxy-mlri6-iae,e66qm-3cydn-nkf4i-ml4rb-4ro6o-srm5s-x5hwq-hnprz-3meqp-s7vks-5qe,an1-dll09.an1.dfinity.network
mercury.an1-dll10.235,external,2001:920:401a:1708:6801:13ff:fe40:7708,jq33i-hlo5d-hyou6-wsgu4-vi7o6-upgg3-pzawk-les4l-gn3fg-eplfx-eae,2fq7c-slacv-26cgz-vzbx2-2jrcs-5edph-i5s2j-tck77-c3rlz-iobzx-mqe,an1-dll10.an1.dfinity.network
mercury.an1-dll11.532,external,2001:920:401a:1708:6801:f0ff:fe54:438,5w4eg-mb4ih-bwfmd-332ta-krtlf-y5igk-r3lzd-l3bze-34553-3opqh-mae,ejbmu-grnam-gk6ol-6irwa-htwoj-7ihfl-goimw-hlnvh-abms4-47v2e-zqe,an1-dll11.an1.dfinity.network
mercury.an1-dll12.533,external,2001:920:401a:1708:6801:5fff:fe22:7807,blo7w-oao2l-iurb2-4sauz-qeoli-b6np7-nemuq-vs6qx-y2h54-esxtu-tae,unassigned,an1-dll12.an1.dfinity.network
mercury.an1-dll13.274,external,2001:920:401a:1708:6801:19ff:fe50:f8c8,mjcgv-4nin5-hkr2z-jm4ao-u5h4c-odopf-is72s-cvll3-7ocz3-jscx2-nqe,yinp6-35cfo-wgcd2-oc4ty-2kqpf-t4dul-rfk33-fsq3r-mfmua-m2ngh-jqe,an1-dll13.an1.dfinity.network
mercury.an1-dll14.275,external,2001:920:401a:1708:6801:1dff:febd:5dc1,egsow-rg26x-j3sml-kkjym-kswtc-sbrdy-zgbrj-uxuhg-3pw5k-oknue-xqe,qdvhd-os4o2-zzrdw-xrcv4-gljou-eztdp-bj326-e6jgr-tkhuc-ql6v2-yqe,an1-dll14.an1.dfinity.network
