name,node_type,ipv6,principal,subnet,physical_system
mercury.an1-dll01.531,external,2001:920:401a:1708:5000:4fff:fe92:48f1,,,an1-dll01.an1.dfinity.network
mercury.an1-dll02.25,external,2001:920:401a:1708:5000:5fff:fec1:9ddb,,,an1-dll02.an1.dfinity.network
mercury.an1-dll03.180,external,2001:920:401a:1708:5000:cbff:fe25:b4e,,,an1-dll03.an1.dfinity.network
mercury.an1-dll04.115,external,2001:920:401a:1708:5000:3aff:fe7e:36d2,,,an1-dll04.an1.dfinity.network
mercury.an1-dll05.234,external,2001:920:401a:1708:5000:b2ff:feec:505,,,an1-dll05.an1.dfinity.network
mercury.an1-dll06.206,external,2001:920:401a:1708:5000:6aff:fe04:4058,,,an1-dll06.an1.dfinity.network
mercury.an1-dll07.87,external,2001:920:401a:1708:5000:8bff:fe77:d696,,,an1-dll07.an1.dfinity.network
mercury.an1-dll08.231,external,2001:920:401a:1708:5000:e8ff:fef8:aaad,,,an1-dll08.an1.dfinity.network
mercury.an1-dll09.219,external,2001:920:401a:1708:5000:96ff:fe88:803e,,,an1-dll09.an1.dfinity.network
mercury.an1-dll10.235,external,2001:920:401a:1708:5000:9fff:fefa:a1a7,,,an1-dll10.an1.dfinity.network
mercury.an1-dll11.532,external,2001:920:401a:1708:5000:e3ff:fe26:66bc,,,an1-dll11.an1.dfinity.network
mercury.an1-dll12.533,external,2001:920:401a:1708:5000:f5ff:fe4a:d1e4,,,an1-dll12.an1.dfinity.network
mercury.an1-dll13.274,external,2001:920:401a:1708:5000:5fff:fe32:4d2d,,,an1-dll13.an1.dfinity.network
mercury.an1-dll14.275,external,2001:920:401a:1708:5000:87ff:fe4a:7a39,,,an1-dll14.an1.dfinity.network
mercury.an1-dll15.276,external,2001:920:401a:1708:5000:e4ff:fea9:b773,,,an1-dll15.an1.dfinity.network
mercury.an1-dll16.277,external,2001:920:401a:1708:5000:d6ff:fe83:aa05,,,an1-dll16.an1.dfinity.network
mercury.an1-dll17.278,external,2001:920:401a:1708:5000:bfff:fece:95a6,,,an1-dll17.an1.dfinity.network
mercury.an1-dll18.279,external,2001:920:401a:1708:5000:ecff:fed5:a927,,,an1-dll18.an1.dfinity.network
mercury.an1-dll19.280,external,2001:920:401a:1708:5000:24ff:fe74:280,,,an1-dll19.an1.dfinity.network
mercury.an1-dll20.281,external,2001:920:401a:1708:5000:14ff:fe51:c1ca,,,an1-dll20.an1.dfinity.network
mercury.an1-dll21.282,external,2001:920:401a:1708:5000:aeff:fe0e:7d93,,,an1-dll21.an1.dfinity.network
mercury.an1-dll22.283,external,2001:920:401a:1708:5000:88ff:fe60:79b4,,,an1-dll22.an1.dfinity.network
mercury.an1-dll23.284,external,2001:920:401a:1708:5000:f5ff:fed6:24ac,,,an1-dll23.an1.dfinity.network
mercury.an1-dll24.285,external,2001:920:401a:1708:5000:a6ff:fe5b:74aa,,,an1-dll24.an1.dfinity.network
mercury.an1-dll25.286,external,2001:920:401a:1708:5000:9cff:fe8f:cab4,,,an1-dll25.an1.dfinity.network
mercury.an1-dll26.961,external,2001:920:401a:1708:5000:40ff:fe7d:bf47,,,an1-dll26.an1.dfinity.network
mercury.an1-dll27.962,external,2001:920:401a:1708:5000:5aff:fe4e:976c,,,an1-dll27.an1.dfinity.network
mercury.an1-dll28.963,external,2001:920:401a:1708:5000:77ff:fe9b:e5a9,,,an1-dll28.an1.dfinity.network
