name,node_type,ipv6,principal,subnet,physical_system
staging.0.2,child_nns,2600:3004:1200:1200:5000:62ff:fedc:fe3c,xukm7-wdcwq-gz2bx-5wcqw-sysaz-fuwjz-2ao6a-6kugl-jt62v-jn6hk-eae,onypf-66a7n-2mkcr-wrlwu-m77vt-7oysj-yiubx-fs4cj-hjgml-g5n6b-sae,pl1-dll26.pl1.dfinity.network
staging.0.3,child_nns,2600:3000:6100:200:5000:b0ff:fe8e:6b7b,cnphn-agbpo-n554i-ro7bj-gnphi-pzlhp-ceibg-esf3h-p53tk-c5qw6-nae,onypf-66a7n-2mkcr-wrlwu-m77vt-7oysj-yiubx-fs4cj-hjgml-g5n6b-sae,dl1-dll26.dl1.dfinity.network
staging.0.4,child_nns,2600:2c01:21:0:5000:d7ff:fe63:6512,6st5c-lnvbs-ititw-2pynp-pk7un-xxblk-q37wu-qs5b3-7u7ua-7gtvs-sae,onypf-66a7n-2mkcr-wrlwu-m77vt-7oysj-yiubx-fs4cj-hjgml-g5n6b-sae,jv1-dll27.jv1.dfinity.network
staging.0.5,child_nns,2600:2c01:21:0:5000:beff:fecb:ff53,liykf-u7kaq-f4usj-tkvys-rmmye-nz7sk-i7ljz-jf3oa-5ylfy-gn4ua-vae,onypf-66a7n-2mkcr-wrlwu-m77vt-7oysj-yiubx-fs4cj-hjgml-g5n6b-sae,jv1-dll27.jv1.dfinity.network
staging.0.6,child_nns,2600:3000:6100:200:5000:14ff:fecd:3307,yntzc-mwt42-t4i3e-v72lj-j56uk-77e67-v7cnr-rknmo-t3zyj-4he5u-xae,onypf-66a7n-2mkcr-wrlwu-m77vt-7oysj-yiubx-fs4cj-hjgml-g5n6b-sae,dl1-dll28.dl1.dfinity.network
staging.0.7,child_nns,2600:3000:6100:200:5000:47ff:fee3:1779,jf5n6-kp4cv-7mu4q-22blw-x3waw-zynlz-anvii-ogmxt-yasll-f7z5i-cae,onypf-66a7n-2mkcr-wrlwu-m77vt-7oysj-yiubx-fs4cj-hjgml-g5n6b-sae,dl1-dll28.dl1.dfinity.network
staging.0.8,child_nns,2604:7e00:50:0:5000:a2ff:fed7:e98c,ctehf-zjz56-munj4-5mqjo-au7uk-z3w2g-czpzl-zvtdj-czeln-x5wog-aqe,onypf-66a7n-2mkcr-wrlwu-m77vt-7oysj-yiubx-fs4cj-hjgml-g5n6b-sae,ch2-dll26.ch2.dfinity.network
staging.br1-dll26.10,app_1,2001:920:401a:1710:5000:8bff:fe73:af20,uokp3-7f7cp-eunxr-pqeiu-t6kyw-6ga2i-4rsb4-zz7fv-f5y6e-fpubm-2ae,i33cz-c2wth-r375n-fmjfr-mxhxa-ltovv-36dy7-guutz-zfsfi-2xfol-pqe,br1-dll26.br1.dfinity.network
staging.br1-dll26.11,app_2,2001:920:401a:1710:5000:3eff:fe04:36de,w5gcg-kywvk-2bozz-3bvie-lnbwt-qlrqf-wc7op-xqvcw-ukjkp-bl3h4-fqe,irnoz-eyld3-z7nch-zsq5r-jogew-g7o6q-hmvyy-kp4uo-47piu-g22fe-mae,br1-dll26.br1.dfinity.network
staging.br1-dll26.12,app_3,2001:920:401a:1710:5000:66ff:fe9c:4755,25jwr-hg6xn-t6faa-4pry2-flvq2-njpdd-742ck-wcatv-vxgaw-cnc2u-uqe,unassigned,br1-dll26.br1.dfinity.network
