day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,14479507,14479507,100.00,42,1,0,
2025-12-15,14479507,14479507,100.00,42,1,0,
2025-12-16,14479507,14479507,100.00,42,1,0,
2025-12-17,14479507,14479507,100.00,42,1,0,
2025-12-18,14479507,14479507,100.00,42,1,0,
2025-12-19,14479507,14479507,100.00,42,1,0,
2025-12-20,14479507,14479507,100.00,42,1,0,
2025-12-21,14479507,14479507,100.00,42,1,0,
2025-12-22,14479507,14479507,100.00,42,1,0,
2025-12-23,14479507,14479507,100.00,42,1,0,
2025-12-24,14479507,14479507,100.00,42,1,0,
2025-12-25,14479507,14479507,100.00,42,1,0,
2025-12-26,14479507,14479507,100.00,42,1,0,
2025-12-27,14479507,14479507,100.00,42,1,0,
2025-12-28,14479507,14479507,100.00,42,1,0,
2025-12-29,14479507,14479507,100.00,42,1,0,
2025-12-30,14479507,14479507,100.00,42,1,0,
2025-12-31,14479507,14479507,100.00,42,1,0,
2026-1-1,14479507,14479507,100.00,42,1,0,
2026-1-2,14479507,14479507,100.00,42,1,0,
2026-1-3,14479507,14479507,100.00,42,1,0,
2026-1-4,14479507,14479507,100.00,42,1,0,
2026-1-5,14479507,14479507,100.00,42,1,0,
2026-1-6,14479507,14479507,100.00,42,1,0,
2026-1-7,14479507,14479507,100.00,42,1,0,
2026-1-8,14479507,14479507,100.00,42,1,0,
2026-1-9,14479507,14479507,100.00,42,1,0,
2026-1-10,14479507,14479507,100.00,42,1,0,
2026-1-11,14479507,14479507,100.00,42,1,0,
2026-1-12,14479507,14479507,100.00,42,1,0,
