day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-15,yakc4-7ajmd-g3e5u-w4a4m-qzb63-t62oi-pesr5-2okgm-a3swy-yodvd-wae,type1.1,"North America,CA,Ontario",to1,Assigned,0.26429073821445165,357453.79876796715,94471.72835394608,mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae,0.02020631713282995,3755,5186,0.5800246057487977,0.5598182886159677,
2025-12-14,yakc4-7ajmd-g3e5u-w4a4m-qzb63-t62oi-pesr5-2okgm-a3swy-yodvd-wae,type1.1,"North America,CA,Ontario",to1,Assigned,0.37594922121539176,357453.79876796715,134384.47726730062,mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae,0.015233616194663123,4745,4846,0.5052653529350433,0.49003173674038014,
2026-1-6,yakc4-7ajmd-g3e5u-w4a4m-qzb63-t62oi-pesr5-2okgm-a3swy-yodvd-wae,type1.1,"North America,CA,Ontario",to1,Assigned,0.40653568789433614,357453.79876796715,145317.72597257912,mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae,0.0733365711510442,3548,4237,0.5442517662170842,0.47091519506603996,
2025-12-28,yakc4-7ajmd-g3e5u-w4a4m-qzb63-t62oi-pesr5-2okgm-a3swy-yodvd-wae,type1.1,"North America,CA,Ontario",to1,Assigned,0.6907844872491582,357453.79876796715,246923.53909719398,mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae,0.018291944276196244,5626,2546,0.31155163974547234,0.2932596954692761,
2026-1-7,yakc4-7ajmd-g3e5u-w4a4m-qzb63-t62oi-pesr5-2okgm-a3swy-yodvd-wae,type1.1,"North America,CA,Ontario",to1,Assigned,0.7038873944623977,357453.79876796715,251607.2230554706,mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae,0.05576116456945473,5216,2697,0.3408315430304562,0.28507037846100153,
2025-12-29,yakc4-7ajmd-g3e5u-w4a4m-qzb63-t62oi-pesr5-2okgm-a3swy-yodvd-wae,type1.1,"North America,CA,Ontario",to1,Assigned,0.7603784719163531,357453.79876796715,271800.1732878824,mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae,0.023119980530542712,5926,2224,0.2728834355828221,0.2497634550522794,
2025-12-16,yakc4-7ajmd-g3e5u-w4a4m-qzb63-t62oi-pesr5-2okgm-a3swy-yodvd-wae,type1.1,"North America,CA,Ontario",to1,Assigned,0.8944531658817374,357453.79876796715,319725.6819644617,mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae,0.03777472527472527,7023,1797,0.20374149659863947,0.1659667713239142,
2025-12-22,yakc4-7ajmd-g3e5u-w4a4m-qzb63-t62oi-pesr5-2okgm-a3swy-yodvd-wae,type1.1,"North America,CA,Ontario",to1,Assigned,0.9327239707445565,357453.79876796715,333405.726544584,mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae,0.11218771888862947,6163,2101,0.2542352371732817,0.14204751828465223,
2025-12-15,klqlw-riebd-glykt-erwn2-eq4d4-jiupb-w2wyc-4rww3-aiy5p-mbmxg-3ae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,pdfrf-zywq2-z7k4b-6qw3p-cgiui-rwsrc-dbnvp-lgc6c-gzd6b-azpnw-4qe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,hh3fs-nqx2d-wp422-ln2me-chxi5-o2tkd-7zqxj-ev7zz-a33pz-zjfqz-yae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,uhrif-ti26v-vaz7i-kjosf-e3kfy-qchtb-iuxii-3qxdo-3svyt-hhrm7-2qe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,xg4uf-fjkka-g2ura-i7wjc-ymj7q-vxdrg-bplmf-7enlx-rkx6d-sys2j-lqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,fdqs3-2kjnz-uhrfj-hpkj2-mkhj5-jx4oa-l5uod-yfdxc-xuzap-ke2lj-vqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,qw55j-mkn6t-m3oks-fbzdh-fyzy4-v33ut-yhwo7-uwjvm-qliaf-urnkz-eqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,7nj4d-fspc7-c652p-joehv-jgk4g-ksyml-cy3h2-e5q3g-udbnz-v2fy6-hae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,vkswv-32qcl-ena2p-s4xyb-7my5a-uzh7o-xhdtg-cseuz-dydzs-nwf5l-jae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,y3zlr-skryt-pz6zt-p6s2d-zynbn-bx3i6-z3tkp-itr54-67pt7-fvygi-gae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,gvqb5-b2623-3twpd-mruy4-3grts-agp2t-wgmt4-hspvj-5oyl6-kje32-aqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,chr5h-5ldod-rgonl-ifszj-cl2ax-dvztp-vfump-nl3md-dyyil-iwiq7-3ae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,jhyyx-r3gnc-cfgnx-ze4bf-sjuef-g6sez-ppjq2-owpid-4meqc-v4lun-zqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,w7nib-k37s2-4fooz-7ywrw-xdu5y-rnr3v-t5n2n-pg63m-tnren-bmcnz-nae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,zeqw6-qucg4-gjbvm-ienht-zeoyv-tbqxt-bg7ia-i4zn7-xzlbr-3akbn-xqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,f5oio-ueraf-qy6r5-3t752-nnvzx-ejpjp-lifky-7iosb-3ygx3-n6jsp-sae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,avhqm-o4ygy-mqqzq-xhanq-mkzif-xuorx-hxf6v-rp2uf-h2udt-onwu2-iqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,2ndxm-inbpv-tmvib-5y2qk-lc2je-b3gbw-2u4nn-x57bs-tu3kx-m47t6-5qe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,aixb3-5ve5v-hrdiq-kqlsl-i4kup-fqup6-4qnah-s7wk6-vg3gb-3r4gq-3qe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,bmpar-rvlwh-dsdqv-3p53v-lje4k-lhhx6-thcfv-cph4c-kv3zg-svxuw-5ae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,k3a3l-fnzw5-qc7e6-l2cz7-z426y-7noxj-4yk42-kmsmo-tvgcn-fj6jw-wqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,e6yck-mgdes-xulju-46dpm-7ve5p-ffyxn-rh7je-sbfca-62rfh-he5ju-gae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,zjmit-bxrzl-s7h6p-dua23-iwjyl-wbwa6-xlnaf-ouv3i-amdei-vw7al-zae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-15,tyyya-fh3vu-ld3ya-ezkit-zgeze-42dwt-g52tz-m4pwe-ldtw2-rntai-cqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.9360726845536129,357453.79876796715,334602.73701661796,,,,,,,0.13995457215399193
2025-12-14,klqlw-riebd-glykt-erwn2-eq4d4-jiupb-w2wyc-4rww3-aiy5p-mbmxg-3ae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,pdfrf-zywq2-z7k4b-6qw3p-cgiui-rwsrc-dbnvp-lgc6c-gzd6b-azpnw-4qe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,hh3fs-nqx2d-wp422-ln2me-chxi5-o2tkd-7zqxj-ev7zz-a33pz-zjfqz-yae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,uhrif-ti26v-vaz7i-kjosf-e3kfy-qchtb-iuxii-3qxdo-3svyt-hhrm7-2qe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,xg4uf-fjkka-g2ura-i7wjc-ymj7q-vxdrg-bplmf-7enlx-rkx6d-sys2j-lqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,fdqs3-2kjnz-uhrfj-hpkj2-mkhj5-jx4oa-l5uod-yfdxc-xuzap-ke2lj-vqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,qw55j-mkn6t-m3oks-fbzdh-fyzy4-v33ut-yhwo7-uwjvm-qliaf-urnkz-eqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,7nj4d-fspc7-c652p-joehv-jgk4g-ksyml-cy3h2-e5q3g-udbnz-v2fy6-hae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,vkswv-32qcl-ena2p-s4xyb-7my5a-uzh7o-xhdtg-cseuz-dydzs-nwf5l-jae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,y3zlr-skryt-pz6zt-p6s2d-zynbn-bx3i6-z3tkp-itr54-67pt7-fvygi-gae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,gvqb5-b2623-3twpd-mruy4-3grts-agp2t-wgmt4-hspvj-5oyl6-kje32-aqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,chr5h-5ldod-rgonl-ifszj-cl2ax-dvztp-vfump-nl3md-dyyil-iwiq7-3ae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,jhyyx-r3gnc-cfgnx-ze4bf-sjuef-g6sez-ppjq2-owpid-4meqc-v4lun-zqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,w7nib-k37s2-4fooz-7ywrw-xdu5y-rnr3v-t5n2n-pg63m-tnren-bmcnz-nae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,zeqw6-qucg4-gjbvm-ienht-zeoyv-tbqxt-bg7ia-i4zn7-xzlbr-3akbn-xqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,f5oio-ueraf-qy6r5-3t752-nnvzx-ejpjp-lifky-7iosb-3ygx3-n6jsp-sae,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,avhqm-o4ygy-mqqzq-xhanq-mkzif-xuorx-hxf6v-rp2uf-h2udt-onwu2-iqe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
2025-12-14,2ndxm-inbpv-tmvib-5y2qk-lc2je-b3gbw-2u4nn-x57bs-tu3kx-m47t6-5qe,type1.1,"North America,CA,Ontario",to1,Unassigned,0.963987305303848,357453.79876796715,344580.9242449566,,,,,,,0.12250793418509504
