day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-17,yvtbq-kruz2-oflyw-uvj6t-27vqv-vvsvc-aiwpx-eg65z-emc4w-i77ll-yqe,type3.1,"Europe,LV,Riga",rg3,Assigned,0.932881699434305,493786.4476386037,460644.34043072903,fuqsr-in2lc-zbcjj-ydmcw-pzq7h-4xm2z-pto4i-dcyee-5z4rz-x63ji-nae,0.009288594470046084,11488,2047,0.15123753232360548,0.1419489378535594,
2025-12-14,s7xrp-byrpw-kyjq3-zpzpz-coeqf-45ius-ljd5c-agfzm-p3nuc-jwjyq-sqe,type3.1,"Europe,LT,Siauliai",si1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0.00032713666053329007
2025-12-14,ouffe-miylc-6zcwl-afv2d-lai62-qwzns-xtlji-p7pu2-qkx2e-x72y2-sqe,type3.1,"Europe,PL,Warszawa",wa3,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0.00032713666053329007
2025-12-14,poyg5-cbmcm-a372x-j72lt-zm4rz-4sf5v-ajtle-hyqkt-rdgaz-eqzmi-5qe,type3.1,"Europe,LV,Riga",rg1,Assigned,1,493786.4476386037,493786.4476386037,io67a-2jmkw-zup3h-snbwi-g6a5n-rm5dn-b6png-lvdpl-nqnto-yih6l-gqe,0.007733408323959506,14243,12,0.0008418098912662224,0,
2025-12-14,lar3t-izrcz-yrmmv-hr6nc-xda23-45vg6-73oq5-3rtcd-di4bj-xcbrf-cqe,type3.1,"Europe,EE,Tallinn",ta1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0.00032713666053329007
2025-12-14,yvtbq-kruz2-oflyw-uvj6t-27vqv-vvsvc-aiwpx-eg65z-emc4w-i77ll-yqe,type3.1,"Europe,LV,Riga",rg3,Assigned,1,493786.4476386037,493786.4476386037,fuqsr-in2lc-zbcjj-ydmcw-pzq7h-4xm2z-pto4i-dcyee-5z4rz-x63ji-nae,0.006846065207076527,14869,11,0.0007392473118279571,0,
2025-12-14,5irn3-rlxhd-lp3cf-caeka-xu2ph-54ceg-afnwr-atwlj-a33ip-odxsy-iae,type3.1,"Europe,CZ,Praha",pa2,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0.00032713666053329007
2025-12-14,bptaj-nejw4-osqqa-zwrej-ysl2o-5ffgj-hkjr6-2w6fi-jczex-vjutw-iae,type3.1,"Europe,EE,Tallinn",ta2,Assigned,1,493786.4476386037,493786.4476386037,lhg73-sax6z-2zank-6oer2-575lz-zgbxx-ptudx-5korm-fy7we-kh4hl-pqe,0.004169961895175786,13937,86,0.006132781858375526,0.0019628199631997406,
2025-12-14,ivpnb-angc2-hvzjn-wwjal-vloh6-5lurb-o3eig-rmhen-5bmf6-ctpbu-zqe,type3.1,"Europe,CZ,South Moravian Region",bn1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0.00032713666053329007
2025-12-14,ouebn-2wgbr-mryee-3ywct-ejhrw-cwdyg-h6riy-ur5me-cuavz-7kkkq-zae,type3.1,"Europe,PL,Warszawa",wa2,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0.00032713666053329007
2025-12-14,b3ml3-v62hu-gdyb5-2raax-b33g2-nav6y-i5d3n-carmz-tosee-rbhk3-lqe,type3.1,"Europe,PT,Lisbon",li1,Assigned,1,493786.4476386037,493786.4476386037,ejbmu-grnam-gk6ol-6irwa-htwoj-7ihfl-goimw-hlnvh-abms4-47v2e-zqe,0.004751738860959988,14758,15,0.0010153658701685508,0,
2025-12-14,5ttnf-xhdip-7e2uw-iuikh-5dlli-r6jdc-nxjp7-bjumm-5usid-rpiqn-jqe,type3.1,"Europe,LT,Siauliai",si1,Assigned,1,493786.4476386037,493786.4476386037,4ecnw-byqwz-dtgss-ua2mh-pfvs7-c3lct-gtf4e-hnu75-j7eek-iifqm-sqe,0.001287001287001287,14933,9,0.0006023290054878865,0,
2025-12-14,hefot-ppj6m-ylrgz-gni6h-ltnd4-noy4v-a3ibm-bllle-5yvkr-fz5gk-aae,type3.1,"Europe,PT,Barreiro",ba1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0.00032713666053329007
2025-12-14,oiso5-hxkkc-elqlo-iyoqg-7oux4-5mscl-zkvoh-b2432-ohrir-b5fcm-gae,type3.1,"Europe,ES,Madrid",ma3,Assigned,1,493786.4476386037,493786.4476386037,4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe,0.10604508196721313,8066,5,0.0006195019204559534,0,
2025-12-14,xqcmz-7xz2n-2ech2-6nuy5-ccy2u-5evmn-vyoer-ropa7-u6zja-vg5k3-sqe,type3.1,"Europe,ES,Madrid",ma1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0.00032713666053329007
2025-12-15,s7xrp-byrpw-kyjq3-zpzpz-coeqf-45ius-ljd5c-agfzm-p3nuc-jwjyq-sqe,type3.1,"Europe,LT,Siauliai",si1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-15,ouffe-miylc-6zcwl-afv2d-lai62-qwzns-xtlji-p7pu2-qkx2e-x72y2-sqe,type3.1,"Europe,PL,Warszawa",wa3,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-15,poyg5-cbmcm-a372x-j72lt-zm4rz-4sf5v-ajtle-hyqkt-rdgaz-eqzmi-5qe,type3.1,"Europe,LV,Riga",rg1,Assigned,1,493786.4476386037,493786.4476386037,io67a-2jmkw-zup3h-snbwi-g6a5n-rm5dn-b6png-lvdpl-nqnto-yih6l-gqe,0.0025341405040123894,14003,6,0.00042829609536726394,0,
2025-12-15,lar3t-izrcz-yrmmv-hr6nc-xda23-45vg6-73oq5-3rtcd-di4bj-xcbrf-cqe,type3.1,"Europe,EE,Tallinn",ta1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-15,yvtbq-kruz2-oflyw-uvj6t-27vqv-vvsvc-aiwpx-eg65z-emc4w-i77ll-yqe,type3.1,"Europe,LV,Riga",rg3,Assigned,1,493786.4476386037,493786.4476386037,fuqsr-in2lc-zbcjj-ydmcw-pzq7h-4xm2z-pto4i-dcyee-5z4rz-x63ji-nae,0.004815073272854152,14272,16,0.0011198208286674134,0,
2025-12-15,5irn3-rlxhd-lp3cf-caeka-xu2ph-54ceg-afnwr-atwlj-a33ip-odxsy-iae,type3.1,"Europe,CZ,Praha",pa2,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-15,bptaj-nejw4-osqqa-zwrej-ysl2o-5ffgj-hkjr6-2w6fi-jczex-vjutw-iae,type3.1,"Europe,EE,Tallinn",ta2,Assigned,1,493786.4476386037,493786.4476386037,lhg73-sax6z-2zank-6oer2-575lz-zgbxx-ptudx-5korm-fy7we-kh4hl-pqe,0.002573718655783514,13616,29,0.0021253206302674975,0,
2025-12-15,ivpnb-angc2-hvzjn-wwjal-vloh6-5lurb-o3eig-rmhen-5bmf6-ctpbu-zqe,type3.1,"Europe,CZ,South Moravian Region",bn1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-15,ouebn-2wgbr-mryee-3ywct-ejhrw-cwdyg-h6riy-ur5me-cuavz-7kkkq-zae,type3.1,"Europe,PL,Warszawa",wa2,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-15,b3ml3-v62hu-gdyb5-2raax-b33g2-nav6y-i5d3n-carmz-tosee-rbhk3-lqe,type3.1,"Europe,PT,Lisbon",li1,Assigned,1,493786.4476386037,493786.4476386037,ejbmu-grnam-gk6ol-6irwa-htwoj-7ihfl-goimw-hlnvh-abms4-47v2e-zqe,0.020283278327832784,14449,35,0.0024164595415631044,0,
2025-12-15,5ttnf-xhdip-7e2uw-iuikh-5dlli-r6jdc-nxjp7-bjumm-5usid-rpiqn-jqe,type3.1,"Europe,LT,Siauliai",si1,Assigned,1,493786.4476386037,493786.4476386037,4ecnw-byqwz-dtgss-ua2mh-pfvs7-c3lct-gtf4e-hnu75-j7eek-iifqm-sqe,0.0015048908954100827,14615,4,0.00027361652643819687,0,
2025-12-15,hefot-ppj6m-ylrgz-gni6h-ltnd4-noy4v-a3ibm-bllle-5yvkr-fz5gk-aae,type3.1,"Europe,PT,Barreiro",ba1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-15,oiso5-hxkkc-elqlo-iyoqg-7oux4-5mscl-zkvoh-b2432-ohrir-b5fcm-gae,type3.1,"Europe,ES,Madrid",ma3,Assigned,1,493786.4476386037,493786.4476386037,4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe,0.1023448633242648,7744,9,0.001160840964787824,0,
2025-12-15,xqcmz-7xz2n-2ech2-6nuy5-ccy2u-5evmn-vyoer-ropa7-u6zja-vg5k3-sqe,type3.1,"Europe,ES,Madrid",ma1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-16,s7xrp-byrpw-kyjq3-zpzpz-coeqf-45ius-ljd5c-agfzm-p3nuc-jwjyq-sqe,type3.1,"Europe,LT,Siauliai",si1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-16,ouffe-miylc-6zcwl-afv2d-lai62-qwzns-xtlji-p7pu2-qkx2e-x72y2-sqe,type3.1,"Europe,PL,Warszawa",wa3,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-16,poyg5-cbmcm-a372x-j72lt-zm4rz-4sf5v-ajtle-hyqkt-rdgaz-eqzmi-5qe,type3.1,"Europe,LV,Riga",rg1,Assigned,1,493786.4476386037,493786.4476386037,io67a-2jmkw-zup3h-snbwi-g6a5n-rm5dn-b6png-lvdpl-nqnto-yih6l-gqe,0.004714285714285714,13801,6,0.00043456217860505543,0,
2025-12-16,lar3t-izrcz-yrmmv-hr6nc-xda23-45vg6-73oq5-3rtcd-di4bj-xcbrf-cqe,type3.1,"Europe,EE,Tallinn",ta1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-16,yvtbq-kruz2-oflyw-uvj6t-27vqv-vvsvc-aiwpx-eg65z-emc4w-i77ll-yqe,type3.1,"Europe,LV,Riga",rg3,Assigned,1,493786.4476386037,493786.4476386037,fuqsr-in2lc-zbcjj-ydmcw-pzq7h-4xm2z-pto4i-dcyee-5z4rz-x63ji-nae,0.009364500679105011,14004,12,0.0008561643835616439,0,
2025-12-16,5irn3-rlxhd-lp3cf-caeka-xu2ph-54ceg-afnwr-atwlj-a33ip-odxsy-iae,type3.1,"Europe,CZ,Praha",pa2,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-16,bptaj-nejw4-osqqa-zwrej-ysl2o-5ffgj-hkjr6-2w6fi-jczex-vjutw-iae,type3.1,"Europe,EE,Tallinn",ta2,Assigned,1,493786.4476386037,493786.4476386037,lhg73-sax6z-2zank-6oer2-575lz-zgbxx-ptudx-5korm-fy7we-kh4hl-pqe,0.0017015609972627064,13487,17,0.0012588862559241706,0,
2025-12-16,ivpnb-angc2-hvzjn-wwjal-vloh6-5lurb-o3eig-rmhen-5bmf6-ctpbu-zqe,type3.1,"Europe,CZ,South Moravian Region",bn1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-16,ouebn-2wgbr-mryee-3ywct-ejhrw-cwdyg-h6riy-ur5me-cuavz-7kkkq-zae,type3.1,"Europe,PL,Warszawa",wa2,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-16,b3ml3-v62hu-gdyb5-2raax-b33g2-nav6y-i5d3n-carmz-tosee-rbhk3-lqe,type3.1,"Europe,PT,Lisbon",li1,Assigned,1,493786.4476386037,493786.4476386037,ejbmu-grnam-gk6ol-6irwa-htwoj-7ihfl-goimw-hlnvh-abms4-47v2e-zqe,0.007798899798064202,14249,112,0.007798899798064202,0,
2025-12-16,5ttnf-xhdip-7e2uw-iuikh-5dlli-r6jdc-nxjp7-bjumm-5usid-rpiqn-jqe,type3.1,"Europe,LT,Siauliai",si1,Assigned,1,493786.4476386037,493786.4476386037,4ecnw-byqwz-dtgss-ua2mh-pfvs7-c3lct-gtf4e-hnu75-j7eek-iifqm-sqe,0.0017420388823078533,14282,4,0.0002799944001119978,0,
2025-12-16,hefot-ppj6m-ylrgz-gni6h-ltnd4-noy4v-a3ibm-bllle-5yvkr-fz5gk-aae,type3.1,"Europe,PT,Barreiro",ba1,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
