day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,6913010,6913010,100.00,14,6,0,
2025-12-15,6913010,6913010,100.00,14,6,0,
2025-12-16,6913010,6913010,100.00,14,6,0,
2025-12-17,6913010,6879868,99.52,14,6,1,yvtbq
2025-12-18,6913010,6913010,100.00,14,6,0,
2025-12-19,6913010,6913010,100.00,14,6,0,
2025-12-20,6913010,6913010,100.00,14,6,0,
2025-12-21,6913010,6913010,100.00,14,6,0,
2025-12-22,6913010,6913010,100.00,14,6,0,
2025-12-23,6913010,6913010,100.00,14,6,0,
2025-12-24,6913010,6913010,100.00,14,6,0,
2025-12-25,6913010,6913010,100.00,14,6,0,
2025-12-26,6913010,6913010,100.00,14,6,0,
2025-12-27,6913010,6913010,100.00,14,6,0,
2025-12-28,6913010,6913010,100.00,14,6,0,
2025-12-29,6913010,6913010,100.00,14,6,0,
2025-12-30,6913010,6913010,100.00,14,6,0,
2025-12-31,6913010,6913010,100.00,14,6,0,
2026-1-1,6913010,6913010,100.00,14,6,0,
2026-1-2,6913010,6913010,100.00,14,6,0,
2026-1-3,6913010,6913010,100.00,14,6,0,
2026-1-4,6913010,6913010,100.00,14,6,0,
2026-1-5,6913010,6913010,100.00,14,6,0,
2026-1-6,6913010,6913010,100.00,14,6,0,
2026-1-7,6913010,6913010,100.00,14,6,0,
2026-1-8,6913010,6913010,100.00,14,6,0,
2026-1-9,6913010,6913010,100.00,14,6,0,
2026-1-10,6913010,6913010,100.00,14,6,0,
2026-1-11,6913010,6913010,100.00,14,6,0,
2026-1-12,6913010,6913010,100.00,14,6,0,
