day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-15,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-16,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-17,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-18,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-19,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-20,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-21,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-22,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-23,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-24,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-25,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-26,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-27,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-28,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-29,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-30,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2025-12-31,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-1,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-2,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-3,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-4,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-5,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-6,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-7,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-8,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-9,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-10,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-11,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
2026-1-12,Asia:KR,25,787489.9423408625,0.9692,554882.746492196
