day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,13872068,13872068,100.00,25,23,0,
2025-12-15,13872068,13872068,100.00,25,23,0,
2025-12-16,13872068,13872068,100.00,25,23,0,
2025-12-17,13872068,13872068,100.00,25,23,0,
2025-12-18,13872068,13872068,100.00,25,23,0,
2025-12-19,13872068,13872068,100.00,25,23,0,
2025-12-20,13872068,13872068,100.00,25,23,0,
2025-12-21,13872068,13872068,100.00,25,23,0,
2025-12-22,13872068,13872068,100.00,25,23,0,
2025-12-23,13872068,13872068,100.00,25,23,0,
2025-12-24,13872068,13872068,100.00,25,23,0,
2025-12-25,13872068,13872068,100.00,25,23,0,
2025-12-26,13872068,13872068,100.00,25,23,0,
2025-12-27,13872068,13872068,100.00,25,23,0,
2025-12-28,13872068,13872068,100.00,25,23,0,
2025-12-29,13872068,13872068,100.00,25,23,0,
2025-12-30,13872068,13872068,100.00,25,23,0,
2025-12-31,13872068,13872068,100.00,25,23,0,
2026-1-1,13872068,13872068,100.00,25,23,0,
2026-1-2,13872068,13872068,100.00,25,23,0,
2026-1-3,13872068,13872068,100.00,25,23,0,
2026-1-4,13872068,13872068,100.00,25,23,0,
2026-1-5,13872068,13872068,100.00,25,23,0,
2026-1-6,13872068,13872068,100.00,25,23,0,
2026-1-7,13872068,13872068,100.00,25,23,0,
2026-1-8,13872068,13872068,100.00,25,23,0,
2026-1-9,13872068,13872068,100.00,25,23,0,
2026-1-10,13872068,13872068,100.00,25,23,0,
2026-1-11,13872068,13872068,100.00,25,23,0,
2026-1-12,13872068,13872068,100.00,25,23,0,
