day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,2857761,2857761,100.00,5,4,0,
2025-12-15,2857761,2857761,100.00,5,4,0,
2025-12-16,2857761,2857761,100.00,5,4,0,
2025-12-17,2857761,2857761,100.00,5,4,0,
2025-12-18,2857761,2857761,100.00,5,4,0,
2025-12-19,2857761,2857761,100.00,5,4,0,
2025-12-20,2857761,2857761,100.00,5,4,0,
2025-12-21,2857761,2857761,100.00,5,4,0,
2025-12-22,2857761,2857761,100.00,5,4,0,
2025-12-23,2857761,2857761,100.00,5,4,0,
2025-12-24,2857761,2857761,100.00,5,4,0,
2025-12-25,2857761,2857761,100.00,5,4,0,
2025-12-26,2857761,2857761,100.00,5,4,0,
2025-12-27,2857761,2857761,100.00,5,4,0,
2025-12-28,2857761,2857761,100.00,5,4,0,
2025-12-29,2857761,2857761,100.00,5,4,0,
2025-12-30,2857761,2857761,100.00,5,4,0,
2025-12-31,2857761,2857761,100.00,5,4,0,
2026-1-1,2857761,2857761,100.00,5,4,0,
2026-1-2,2857761,2857761,100.00,5,4,0,
2026-1-3,2857761,2857761,100.00,5,4,0,
2026-1-4,2857761,2857761,100.00,5,4,0,
2026-1-5,2857761,2857761,100.00,5,4,0,
2026-1-6,2857761,2857761,100.00,5,4,0,
2026-1-7,2857761,2857761,100.00,5,4,0,
2026-1-8,2857761,2857761,100.00,5,4,0,
2026-1-9,2857761,2857761,100.00,5,4,0,
2026-1-10,2857761,2857761,100.00,5,4,0,
2026-1-11,2857761,2857761,100.00,5,4,0,
2026-1-12,2857761,2857761,100.00,5,4,0,
