day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-14,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-15,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-15,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-16,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-16,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-17,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-17,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-18,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-18,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-19,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-19,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-20,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-20,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-21,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-21,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-22,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-22,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-23,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-23,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-24,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-24,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-25,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-25,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-26,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-26,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-27,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-27,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-28,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-28,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-29,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-29,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-30,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-30,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2025-12-31,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2025-12-31,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-1,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-1,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-2,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-2,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-3,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-3,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-4,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-4,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-5,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-5,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-6,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-6,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-7,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-7,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-8,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-8,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-9,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-9,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-10,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-10,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-11,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-11,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
2026-1-12,Europe:LT,5,506447.6386036961,0.95,458272.4400410678
2026-1-12,Europe:LV,5,506447.6386036961,0.95,458272.4400410678
