day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2026-1-9,kdowl-chtwc-lkojq-lfb2l-p4w77-35pmk-3ixsh-hqhj3-uxi4k-jh7ge-mqe,type1.1,"Europe,CH,Zurich",zh6,Assigned,0.34127304099593536,373223.81930184807,127371.22778525917,4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe,0.08297815663292488,2866,4205,0.5946825060104652,0.5117043493775404,
2026-1-7,h3g2z-jgfid-7hvbw-jyfw7-4jiza-iyy4w-bvx44-nizgh-kct53-ffjtz-lae,type1.1,"Europe,CH,Zurich",zh6,Assigned,0.6928256201421442,373223.81930184807,258579.02405962243,o3ow2-2ipam-6fcjo-3j5vt-fzbge-2g7my-5fz2m-p4o2t-dwlc4-gt2q7-5ae,0.03481842006739049,5257,2552,0.3268024074785504,0.2919839874111599,
2025-12-30,h3g2z-jgfid-7hvbw-jyfw7-4jiza-iyy4w-bvx44-nizgh-kct53-ffjtz-lae,type1.1,"Europe,CH,Zurich",zh6,Assigned,0.7458904931612066,373223.81930184807,278384.09863856446,o3ow2-2ipam-6fcjo-3j5vt-fzbge-2g7my-5fz2m-p4o2t-dwlc4-gt2q7-5ae,0.04024581274852392,5618,2397,0.29906425452276986,0.2588184417742459,
2026-1-6,h3g2z-jgfid-7hvbw-jyfw7-4jiza-iyy4w-bvx44-nizgh-kct53-ffjtz-lae,type1.1,"Europe,CH,Zurich",zh6,Assigned,0.8010344924873901,373223.81930184807,298965.1526786613,o3ow2-2ipam-6fcjo-3j5vt-fzbge-2g7my-5fz2m-p4o2t-dwlc4-gt2q7-5ae,0.06922110552763819,5662,2353,0.29357454772301933,0.22435344219538117,
2025-12-31,h3g2z-jgfid-7hvbw-jyfw7-4jiza-iyy4w-bvx44-nizgh-kct53-ffjtz-lae,type1.1,"Europe,CH,Zurich",zh6,Assigned,0.8401296313999076,373223.81930184807,313556.3897397273,o3ow2-2ipam-6fcjo-3j5vt-fzbge-2g7my-5fz2m-p4o2t-dwlc4-gt2q7-5ae,0.028762707661790232,6196,1837,0.228681688036848,0.19991898037505776,
2026-1-10,h3g2z-jgfid-7hvbw-jyfw7-4jiza-iyy4w-bvx44-nizgh-kct53-ffjtz-lae,type1.1,"Europe,CH,Zurich",zh6,Assigned,0.9105435457148117,373223.81930184807,339836.53977232886,o3ow2-2ipam-6fcjo-3j5vt-fzbge-2g7my-5fz2m-p4o2t-dwlc4-gt2q7-5ae,0.009622886866059818,6503,1290,0.1655331707943026,0.15591028392824277,
2025-12-14,oaxev-miabf-nxzvk-inhz4-67wdw-urlun-euywx-656kk-iffmy-3gdp4-2ae,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,pvo54-4ykmv-7iumz-jxrld-qma55-wtgck-jmdui-r654s-bdjne-db7lf-kae,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,brlsh-zidhj-3yy3e-6vqbz-7xnih-xeq2l-as5oc-g32c4-i5pdn-2wwof-oae,0.03254672157111181,12524,1,0.00007984031936127745,0,
2025-12-14,rpmaq-iinj7-yufzr-4ekre-4sbok-wzkzu-guxeq-sxmvi-5rqm4-3kfe2-oae,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,awpkn-yaohh-7l6ta-dvz7u-mxrqo-7ahi2-ag22k-3e3dx-vjnaf-mkbmj-sqe,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,4utr6-xo2fz-v7fsb-t3wsg-k7sfl-cj2ba-ghdnd-kcrfo-xavdb-ebean-mqe,0.003181179255752016,13520,7,0.0005174835514156872,0,
2025-12-14,cwaya-vbbgq-uch26-lqqm6-zrfhz-4edlc-3tytg-cstua-pykwr-f3vme-2ae,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,onc5z-2bkny-x2rr2-2pgyk-kpnj3-i4xpr-7sz77-pmawv-ncyte-rviz5-nae,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,6kuom-ucaom-u7xm5-s556x-3rnyk-hdjzd-wkxnx-wsejf-vpnhz-lniqi-nae,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,mkbc3-fzim5-s5pye-pbnzo-uj5yv-raphe-ceecn-ejd6g-5poxm-dzuot-iae,0.00017457084666860635,17290,0,0,0,
2025-12-14,yzwxm-j2n2r-whdxh-xqftn-lobyp-h5c5c-zomu3-uqc7k-gatex-aoayd-pae,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,xok3w-cnepj-fg6aa-cjitt-uoxod-4ddsy-nc7dq-zwudz-o6jar-rzstb-gqe,0.0003826774666751706,15611,0,0,0,
2025-12-14,aid27-4kobq-rsaze-7bvbc-pwg2a-nrhj3-uhpne-yjdis-3rrx4-chcxm-rae,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,mhwuz-qcw22-7uxip-wmnc5-kv2wb-ttehc-pcy3g-nb65w-622zg-rgkks-lqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,wzrqt-5cxzt-i5g2h-irxh3-33pao-qke5v-6rfz3-brj2a-ibjnw-ycqlx-xqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,clfg5-ls62b-c54r5-sgken-xuwyh-p2coy-rsod3-2rvlu-cvbwn-whuyc-uqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,sfuvc-ddail-b7u54-5sthn-rk6vg-yvuf7-qjcv7-fxmgz-uqhtw-cuc3a-6ae,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,e5xk3-7dbi6-2zaxv-7ng3v-if5va-yktmq-roase-rqvx3-dii3z-2kh3r-vqe,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,c4isl-65rwf-emhk5-5ta5m-ngl73-rgrl3-tcc56-2hkja-4erqd-iivmy-7ae,0.0011059907834101382,16375,1,0.00006106497313141182,0,
2025-12-14,engai-flho6-5z6nk-4eirk-ozvgk-z73wc-bgayv-lbnls-djvfe-lheum-jae,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,uzr34-akd3s-xrdag-3ql62-ocgoh-ld2ao-tamcv-54e7j-krwgb-2gm4z-oqe,0.002907504997274214,5487,1,0.00018221574344023323,0,
2025-12-14,gc7j5-ullnt-he62c-pzbe6-bwvba-2jh7m-g5f5a-u2haz-nhwif-52nfa-bqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,lim7b-klnkx-adypc-pmet6-66zcr-zmhmh-t4zch-wlqrl-pnclk-qoadk-vae,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,lzjli-4do6u-xcbtx-co7r7-35gzq-5mmqw-k4jb3-3s63m-facun-6riew-lae,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,h46do-f3rxf-puasi-4uipi-5ymgk-s3rrv-yazcy-darzs-manii-si7hg-gqe,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,vudfj-wtx2a-hrx3r-rzc5m-dbuc2-hl5m6-b2liw-pxjzj-ugiwp-62frd-cqe,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,2fq7c-slacv-26cgz-vzbx2-2jrcs-5edph-i5s2j-tck77-c3rlz-iobzx-mqe,0.0035555555555555557,4358,0,0,0,
2025-12-14,qht2j-y3ztk-p4acr-rveul-kn37n-xc466-auaby-crl4s-cs5ki-vj27v-vae,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,wagpy-b4c35-wwopp-jmiro-bqnsq-uo2i5-iai72-4yitf-lo7vy-rs5wa-2ae,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,psfos-cul7d-luvsj-7er7k-oahxc-qx2qx-etnev-glh4c-5bybz-ivnlh-kqe,type1.1,"Europe,CH,Zurich",zh7,Assigned,1,373223.81930184807,373223.81930184807,xlkub-3thlm-uha3c-hqmfw-qykp5-6rldi-hpfxy-nwyxy-w6bbk-tpg5h-vqe,0.0004371994253950409,16227,0,0,0,
2025-12-14,dhnjd-aemdm-qq2fc-lacqo-fwerg-tc3g6-xsbkg-pbwgf-y2rez-mh5ef-jqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,k7ffp-zum3t-rtcce-kuexb-xloxn-dfp4x-b5i2j-jrh6n-jitao-xm2o6-nae,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,exztv-hm2d7-ewdzm-5chfw-ej7vw-asjxc-ch63f-27j7c-ydije-kd3fs-hqe,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,udlch-g42nv-er23m-bgpxk-oiymd-knkro-2dczg-hyv4x-2yiw6-q2jcz-hqe,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,w4rem-dv5e3-widiz-wbpea-kbttk-mnzfm-tzrc7-svcj3-kbxyb-zamch-hqe,0.000623398212925123,14375,0,0,0,
2025-12-14,7jjmd-p43kv-2h3bp-yrcuv-gc3ia-zaess-2rj6p-p4xgr-f43xy-6hk55-xqe,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,ec62l-q44va-5lyw2-gbl4w-xcx55-c3qv4-q67vc-fu6s7-xpm2r-7tjrw-tae,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,yikms-ku6l6-3brmt-a7wji-oizgc-gopwj-my4wn-y2nsq-mjq6q-acuaw-7ae,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,lovrr-efema-wp7pq-cfp2q-clwvx-c4vvp-7zb76-ixxoi-7jtke-joyqp-aae,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,pri5a-une2z-drxdd-pjg2y-chwiz-hsuhx-xe4l6-gnio4-cgjvm-virtb-3qe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,yzi7p-lnf22-u2wot-tgxzn-v3ubs-4yuqq-fywh7-4tkk7-ly2xh-r5byg-mqe,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,pzp6e-ekpqk-3c5x7-2h6so-njoeq-mt45d-h3h6c-q3mxf-vpeq5-fk5o7-yae,0.0045701849836779105,4571,2,0.0004373496610540127,0,
2025-12-14,joich-t5ted-j3ibc-n7ytv-bomzl-jqimt-7gc72-xujql-xahtn-grunf-dqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,h3g2z-jgfid-7hvbw-jyfw7-4jiza-iyy4w-bvx44-nizgh-kct53-ffjtz-lae,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,o3ow2-2ipam-6fcjo-3j5vt-fzbge-2g7my-5fz2m-p4o2t-dwlc4-gt2q7-5ae,0.010553776829123682,8126,2,0.00024606299212598425,0,
2025-12-14,5v2bn-uoktd-3ne5o-lxcws-askra-k4iyq-fxt2j-3gdpc-t2gxb-hiybx-4ae,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,zcxej-wovzy-rxnvs-bcz3a-ruh4s-a3blo-24ej7-izr7h-toic5-ix5gu-qqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,wolwk-thbgv-pnuak-dodxy-l5owl-mrfgz-alrb6-whu2h-rbmbq-5obcq-wqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,2kvun-y7qfw-krhhm-aftvi-ll56o-yvkuj-noc5w-xozic-mnewn-i47x5-tqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,kdowl-chtwc-lkojq-lfb2l-p4w77-35pmk-3ixsh-hqhj3-uxi4k-jh7ge-mqe,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe,0.10604508196721313,7891,98,0.012266866942045313,0,
2025-12-14,zuabx-u7xyp-pgluz-tdqxl-eubuu-oxg65-i5lup-qh2c5-5wool-rsvp4-oqe,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-14,kajie-lx37k-yqw6l-pmzhm-xlkw7-svttg-ju2gr-2yox2-ee6rb-kzx5k-qqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-15,oaxev-miabf-nxzvk-inhz4-67wdw-urlun-euywx-656kk-iffmy-3gdp4-2ae,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-15,pvo54-4ykmv-7iumz-jxrld-qma55-wtgck-jmdui-r654s-bdjne-db7lf-kae,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,brlsh-zidhj-3yy3e-6vqbz-7xnih-xeq2l-as5oc-g32c4-i5pdn-2wwof-oae,0.06724422442244224,11989,0,0,0,
2025-12-15,rpmaq-iinj7-yufzr-4ekre-4sbok-wzkzu-guxeq-sxmvi-5rqm4-3kfe2-oae,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-15,awpkn-yaohh-7l6ta-dvz7u-mxrqo-7ahi2-ag22k-3e3dx-vjnaf-mkbmj-sqe,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,4utr6-xo2fz-v7fsb-t3wsg-k7sfl-cj2ba-ghdnd-kcrfo-xavdb-ebean-mqe,0.002635046113306983,13491,3,0.00022232103156958648,0,
2025-12-15,cwaya-vbbgq-uch26-lqqm6-zrfhz-4edlc-3tytg-cstua-pykwr-f3vme-2ae,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-15,onc5z-2bkny-x2rr2-2pgyk-kpnj3-i4xpr-7sz77-pmawv-ncyte-rviz5-nae,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-15,6kuom-ucaom-u7xm5-s556x-3rnyk-hdjzd-wkxnx-wsejf-vpnhz-lniqi-nae,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,mkbc3-fzim5-s5pye-pbnzo-uj5yv-raphe-ceecn-ejd6g-5poxm-dzuot-iae,0.0004050925925925926,17209,0,0,0,
2025-12-15,yzwxm-j2n2r-whdxh-xqftn-lobyp-h5c5c-zomu3-uqc7k-gatex-aoayd-pae,type1.1,"Europe,CH,Zurich",zh6,Assigned,1,373223.81930184807,373223.81930184807,xok3w-cnepj-fg6aa-cjitt-uoxod-4ddsy-nc7dq-zwudz-o6jar-rzstb-gqe,0.0011088643924075403,15470,0,0,0,
2025-12-15,aid27-4kobq-rsaze-7bvbc-pwg2a-nrhj3-uhpne-yjdis-3rrx4-chcxm-rae,type1.1,"Europe,CH,Zurich",zh7,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-15,mhwuz-qcw22-7uxip-wmnc5-kv2wb-ttehc-pcy3g-nb65w-622zg-rgkks-lqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2025-12-15,wzrqt-5cxzt-i5g2h-irxh3-33pao-qke5v-6rfz3-brj2a-ibjnw-ycqlx-xqe,type1.1,"Europe,CH,Zurich",zh6,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
