day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,15675400,15675400,100.00,42,12,0,
2025-12-15,15675400,15675400,100.00,42,12,0,
2025-12-16,15675400,15675400,100.00,42,12,0,
2025-12-17,15675400,15675400,100.00,42,12,0,
2025-12-18,15675400,15675400,100.00,42,12,0,
2025-12-19,15675400,15675400,100.00,42,12,0,
2025-12-20,15675400,15675400,100.00,42,12,0,
2025-12-21,15675400,15675400,100.00,42,12,0,
2025-12-22,15675400,15675400,100.00,42,12,0,
2025-12-23,15675400,15675400,100.00,42,12,0,
2025-12-24,15675400,15675400,100.00,42,12,0,
2025-12-25,15675400,15675400,100.00,42,12,0,
2025-12-26,15675400,15675400,100.00,42,12,0,
2025-12-27,15675400,15675400,100.00,42,12,0,
2025-12-28,15675400,15675400,100.00,42,12,0,
2025-12-29,15675400,15675400,100.00,42,12,0,
2025-12-30,15675400,15580560,99.39,42,12,1,h3g2z
2025-12-31,15675400,15615732,99.62,42,12,1,h3g2z
2026-1-1,15675400,15675400,100.00,42,12,0,
2026-1-2,15675400,15675400,100.00,42,12,0,
2026-1-3,15675400,15675400,100.00,42,12,0,
2026-1-4,15675400,15675400,100.00,42,12,0,
2026-1-5,15675400,15675400,100.00,42,12,0,
2026-1-6,15675400,15601141,99.53,42,12,1,h3g2z
2026-1-7,15675400,15560755,99.27,42,12,1,h3g2z
2026-1-8,15675400,15675400,100.00,42,12,0,
2026-1-9,15675400,15429547,98.43,42,12,1,kdowl
2026-1-10,15675400,15642013,99.79,42,12,1,h3g2z
2026-1-11,15675400,15675400,100.00,42,12,0,
2026-1-12,15675400,15675400,100.00,42,12,0,
