day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-14,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-15,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-15,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-16,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-16,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-17,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-17,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-18,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-18,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-19,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-19,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-20,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-20,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-21,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-21,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-22,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-22,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-23,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-23,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-24,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-24,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-25,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-25,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-26,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-26,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-27,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-27,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-28,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-28,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-29,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-29,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-30,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-30,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2025-12-31,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2025-12-31,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-1,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-1,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-2,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-2,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-3,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-3,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-4,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-4,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-5,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-5,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-6,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-6,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-7,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-7,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-8,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-8,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-9,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-9,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-10,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-10,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-11,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-11,North America:CR,8,708747.4332648871,0.95,596374.7635331991
2026-1-12,Asia:IL,8,677618.069815195,0.95,570180.9942228408
2026-1-12,North America:CR,8,708747.4332648871,0.95,596374.7635331991
