day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,9332446,9332446,100.00,16,10,0,
2025-12-15,9332446,9332446,100.00,16,10,0,
2025-12-16,9332446,9332446,100.00,16,10,0,
2025-12-17,9332446,9332446,100.00,16,10,0,
2025-12-18,9332446,9332446,100.00,16,10,0,
2025-12-19,9332446,9332446,100.00,16,10,0,
2025-12-20,9332446,9332446,100.00,16,10,0,
2025-12-21,9332446,9332446,100.00,16,10,0,
2025-12-22,9332446,9332446,100.00,16,10,0,
2025-12-23,9332446,9332446,100.00,16,10,0,
2025-12-24,9332446,9332446,100.00,16,10,0,
2025-12-25,9332446,9332446,100.00,16,10,0,
2025-12-26,9332446,9332446,100.00,16,10,0,
2025-12-27,9332446,9332446,100.00,16,10,0,
2025-12-28,9332446,9332446,100.00,16,10,0,
2025-12-29,9332446,9332446,100.00,16,10,0,
2025-12-30,9332446,9332446,100.00,16,10,0,
2025-12-31,9332446,9332446,100.00,16,10,0,
2026-1-1,9332446,9332446,100.00,16,10,0,
2026-1-2,9332446,9332446,100.00,16,10,0,
2026-1-3,9332446,9332446,100.00,16,10,0,
2026-1-4,9332446,9332446,100.00,16,10,0,
2026-1-5,9332446,9332446,100.00,16,10,0,
2026-1-6,9332446,9332446,100.00,16,10,0,
2026-1-7,9332446,9332446,100.00,16,10,0,
2026-1-8,9332446,9332446,100.00,16,10,0,
2026-1-9,9332446,9332446,100.00,16,10,0,
2026-1-10,9332446,9332446,100.00,16,10,0,
2026-1-11,9332446,9332446,100.00,16,10,0,
2026-1-12,9332446,9332446,100.00,16,10,0,
