day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-14,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-15,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-15,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-16,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-16,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-17,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-17,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-18,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-18,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-19,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-19,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-20,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-20,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-21,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-21,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-22,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-22,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-23,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-23,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-24,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-24,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-25,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-25,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-26,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-26,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-27,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-27,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-28,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-28,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-29,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-29,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-30,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-30,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2025-12-31,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2025-12-31,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-1,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-1,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-2,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-2,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-3,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-3,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-4,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-4,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-5,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-5,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-6,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-6,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-7,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-7,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-8,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-8,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-9,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-9,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-10,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-10,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-11,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-11,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
2026-1-12,20990417,689623.5564681725,type3.1,"Asia,IN,New Delhi"
2026-1-12,15429583,506926.75154004106,type3.1,"North America,CA,Quebec"
