day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-15,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-16,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-17,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-18,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-19,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-20,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-21,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-22,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-23,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-24,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-25,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-26,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-27,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-28,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-29,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-30,15429583,506926.75154004106,type3.1,"North America,US,California"
2025-12-31,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-1,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-2,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-3,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-4,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-5,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-6,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-7,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-8,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-9,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-10,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-11,15429583,506926.75154004106,type3.1,"North America,US,California"
2026-1-12,15429583,506926.75154004106,type3.1,"North America,US,California"
