day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,1284045,1284045,100.00,4,1,0,
2025-12-15,1284045,1284045,100.00,4,1,0,
2025-12-16,1284045,1284045,100.00,4,1,0,
2025-12-17,1284045,1284045,100.00,4,1,0,
2025-12-18,1284045,1284045,100.00,4,1,0,
2025-12-19,1284045,1284045,100.00,4,1,0,
2025-12-20,1284045,1284045,100.00,4,1,0,
2025-12-21,1284045,1284045,100.00,4,1,0,
2025-12-22,1284045,1284045,100.00,4,1,0,
2025-12-23,1284045,1284045,100.00,4,1,0,
2025-12-24,1284045,1284045,100.00,4,1,0,
2025-12-25,1284045,1284045,100.00,4,1,0,
2025-12-26,1284045,1284045,100.00,4,1,0,
2025-12-27,1284045,1284045,100.00,4,1,0,
2025-12-28,1284045,1284045,100.00,4,1,0,
2025-12-29,1284045,1284045,100.00,4,1,0,
2025-12-30,1284045,1284045,100.00,4,1,0,
2025-12-31,1284045,1284045,100.00,4,1,0,
2026-1-1,1284045,1284045,100.00,4,1,0,
2026-1-2,1284045,1284045,100.00,4,1,0,
2026-1-3,1284045,1284045,100.00,4,1,0,
2026-1-4,1284045,1284045,100.00,4,1,0,
2026-1-5,1284045,1284045,100.00,4,1,0,
2026-1-6,1284045,1284045,100.00,4,1,0,
2026-1-7,1284045,1284045,100.00,4,1,0,
2026-1-8,1284045,1284045,100.00,4,1,0,
2026-1-9,1284045,1284045,100.00,4,1,0,
2026-1-10,1284045,1284045,100.00,4,1,0,
2026-1-11,1284045,1284045,100.00,4,1,0,
2026-1-12,1284045,1284045,100.00,4,1,0,
