day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-15,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-16,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-17,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-18,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-19,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-20,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-21,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-22,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-23,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-24,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-25,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-26,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-27,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-28,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2025-12-29,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2026-1-1,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2026-1-2,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2026-1-4,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
2026-1-5,10610000,348583.1622176591,type1.1,"Europe,BE,Flanders"
