node_id,day_utc,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-14,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-15,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0.000017524826117888924
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-16,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-17,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-18,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-19,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-20,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-21,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-22,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-23,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0.001001122692804492
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-24,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-25,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-26,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0.0016052465126942005
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-27,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-28,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2025-12-29,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2026-1-1,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2026-1-2,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
2h5zf-onosj-lonhb-3yyc3-nhvpy-tozvk-r4icy-j5qnh-iha5x-y7zqp-zae,2026-1-4,type1.1,"Europe,BE,Flanders",an1,Unassigned,1,348583.1622176591,348583.1622176591,,,,,,,0
