day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,9760328,9760328,100.00,28,7,0,
2025-12-15,9760328,9760328,100.00,28,7,0,
2025-12-16,9760328,9760328,100.00,28,7,0,
2025-12-17,9760328,9760328,100.00,28,7,0,
2025-12-18,9760328,9760328,100.00,28,7,0,
2025-12-19,9760328,9760328,100.00,28,7,0,
2025-12-20,9760328,9760328,100.00,28,7,0,
2025-12-21,9760328,9760328,100.00,28,7,0,
2025-12-22,9760328,9760328,100.00,28,7,0,
2025-12-23,9760328,9760328,100.00,28,7,0,
2025-12-24,9760328,9760328,100.00,28,7,0,
2025-12-25,9760328,9760328,100.00,28,7,0,
2025-12-26,9760328,9760328,100.00,28,7,0,
2025-12-27,9760328,9760328,100.00,28,7,0,
2025-12-28,9760328,9760328,100.00,28,7,0,
2025-12-29,9760328,9760328,100.00,28,7,0,
2026-1-1,348583,348583,100.00,1,0,0,
2026-1-2,348583,348583,100.00,1,0,0,
2026-1-4,348583,348583,100.00,1,0,0,
2026-1-5,348583,348583,100.00,1,0,0,
