day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,0,0,type0,"North America,US,Washington"
2025-12-14,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-14,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-15,0,0,type0,"North America,US,Washington"
2025-12-15,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-15,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-16,0,0,type0,"North America,US,Washington"
2025-12-16,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-16,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-17,0,0,type0,"North America,US,Washington"
2025-12-17,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-17,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-18,0,0,type0,"North America,US,Washington"
2025-12-18,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-18,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-19,0,0,type0,"North America,US,Washington"
2025-12-19,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-19,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-20,0,0,type0,"North America,US,Washington"
2025-12-20,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-20,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-21,0,0,type0,"North America,US,Washington"
2025-12-21,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-21,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-22,0,0,type0,"North America,US,Washington"
2025-12-22,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-22,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-23,0,0,type0,"North America,US,Washington"
2025-12-23,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-23,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-24,0,0,type0,"North America,US,Washington"
2025-12-24,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-24,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-25,0,0,type0,"North America,US,Washington"
2025-12-25,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-25,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-26,0,0,type0,"North America,US,Washington"
2025-12-26,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-26,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-27,0,0,type0,"North America,US,Washington"
2025-12-27,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-27,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-28,0,0,type0,"North America,US,Washington"
2025-12-28,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-28,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-29,0,0,type0,"North America,US,Washington"
2025-12-29,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-29,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-30,0,0,type0,"North America,US,Washington"
2025-12-30,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-30,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2025-12-31,0,0,type0,"North America,US,Washington"
2025-12-31,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2025-12-31,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-1,0,0,type0,"North America,US,Washington"
2026-1-1,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-1,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-2,0,0,type0,"North America,US,Washington"
