day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,14985462,14835540,99.00,69,49,2,"45huy, wl27x"
2025-12-15,14985462,14643624,97.72,69,49,2,"45huy, wl27x"
2025-12-16,14985462,14659277,97.82,69,49,2,"45huy, wl27x"
2025-12-17,14985462,14392053,96.04,69,49,2,"45huy, wl27x"
2025-12-18,14985462,14417188,96.21,69,49,2,"45huy, wl27x"
2025-12-19,14985462,14388303,96.02,69,49,2,"45huy, wl27x"
2025-12-20,14985462,14388303,96.02,69,49,2,"45huy, wl27x"
2025-12-21,14985462,14392674,96.04,69,49,2,"45huy, wl27x"
2025-12-22,14985462,14159041,94.49,69,49,3,"45huy, pzhdx, wl27x"
2025-12-23,14985462,14089724,94.02,69,49,3,"45huy, pzhdx, wl27x"
2025-12-24,14985462,14095303,94.06,69,49,3,"45huy, pzhdx, wl27x"
2025-12-25,14985462,14089724,94.02,69,49,3,"45huy, pzhdx, wl27x"
2025-12-26,14985462,14050445,93.76,69,49,4,"45huy, pzhdx, tqkdx, wl27x"
2025-12-27,14985462,14110123,94.16,69,49,3,"45huy, pzhdx, wl27x"
2025-12-28,14985462,14089724,94.02,69,49,3,"45huy, pzhdx, wl27x"
2025-12-29,14985462,14089724,94.02,69,49,3,"45huy, pzhdx, wl27x"
2025-12-30,14985462,14143744,94.38,69,49,3,"45huy, pzhdx, wl27x"
2025-12-31,14985462,14114175,94.19,69,49,3,"45huy, pzhdx, wl27x"
2026-1-1,14985462,14302846,95.44,69,49,3,"45huy, pzhdx, wl27x"
2026-1-2,14985462,14281878,95.30,69,49,3,"45huy, pzhdx, wl27x"
2026-1-3,14985462,14688757,98.02,69,49,3,"45huy, pzhdx, wl27x"
2026-1-4,14985462,14689358,98.02,69,49,2,"pzhdx, wl27x"
2026-1-5,14985462,14608079,97.48,69,49,3,"45huy, pzhdx, wl27x"
2026-1-6,14985462,14367301,95.87,69,49,3,"45huy, pzhdx, wl27x"
2026-1-7,14985462,14324769,95.59,69,49,3,"45huy, pzhdx, wl27x"
2026-1-8,14985462,14195401,94.73,69,49,3,"45huy, pzhdx, wl27x"
2026-1-9,14985462,14083496,93.98,69,49,5,"45huy, lokgu, pzhdx, tqkdx, wl27x"
2026-1-10,14985462,14089724,94.02,69,49,3,"45huy, pzhdx, wl27x"
2026-1-11,14985462,14089724,94.02,69,49,3,"45huy, pzhdx, wl27x"
2026-1-12,14985462,14089724,94.02,69,49,3,"45huy, pzhdx, wl27x"
