day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,5298726,4092405,77.23,14,4,11,"7gdir, awhiz, d732t, drzg7, eq4pj, j64fo, jqii7, ncrki, rvizw, wucjd, xcwtx"
2025-12-15,5298726,4091578,77.22,14,4,11,"7gdir, awhiz, d732t, drzg7, eq4pj, j64fo, jqii7, ncrki, rvizw, wucjd, xcwtx"
2025-12-16,5298726,4095206,77.29,14,4,11,"7gdir, awhiz, d732t, drzg7, eq4pj, j64fo, jqii7, ncrki, rvizw, wucjd, xcwtx"
2025-12-17,5298726,5168914,97.55,14,4,1,ncrki
2025-12-18,5298726,5298726,100.00,14,4,0,
2025-12-19,5298726,5298726,100.00,14,4,0,
2025-12-20,5298726,5298726,100.00,14,4,0,
2025-12-21,5298726,5298726,100.00,14,4,0,
2025-12-22,5298726,5298726,100.00,14,4,0,
2025-12-23,5298726,5298726,100.00,14,4,0,
2025-12-24,5298726,5298726,100.00,14,4,0,
2025-12-25,5298726,5298726,100.00,14,4,0,
2025-12-26,5298726,5298726,100.00,14,4,0,
2025-12-27,5298726,5298726,100.00,14,4,0,
2025-12-28,5298726,5298726,100.00,14,4,0,
2025-12-29,5298726,5298726,100.00,14,5,0,
2025-12-30,5298726,5298726,100.00,14,5,0,
2025-12-31,5298726,5298726,100.00,14,5,0,
2026-1-1,5298726,5298726,100.00,14,5,0,
2026-1-2,5298726,5298726,100.00,14,5,0,
2026-1-3,5298726,5298726,100.00,14,5,0,
2026-1-4,5298726,5298726,100.00,14,5,0,
2026-1-5,5298726,5298726,100.00,14,5,0,
2026-1-6,5298726,5298726,100.00,14,5,0,
2026-1-7,5298726,5298726,100.00,14,5,0,
2026-1-8,5298726,5298726,100.00,14,5,0,
2026-1-9,5298726,5298726,100.00,14,5,0,
2026-1-10,5298726,5298726,100.00,14,5,0,
2026-1-11,5298726,5298726,100.00,14,5,0,
2026-1-12,5298726,5298726,100.00,14,5,0,
