day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,3810819,3810819,100.00,7,6,0,
2025-12-15,3810819,3810819,100.00,7,6,0,
2025-12-16,3810819,3810819,100.00,7,6,0,
2025-12-17,3810819,3810819,100.00,7,6,0,
2025-12-18,3810819,3810819,100.00,7,6,0,
2025-12-19,3810819,3810819,100.00,7,6,0,
2025-12-20,3810819,3810819,100.00,7,6,0,
2025-12-21,3810819,3810819,100.00,7,6,0,
2025-12-22,3810819,3810819,100.00,7,6,0,
2025-12-23,3810819,3810819,100.00,7,6,0,
2025-12-24,3810819,3810819,100.00,7,6,0,
2025-12-25,3810819,3810819,100.00,7,6,0,
2025-12-26,3810819,3810819,100.00,7,6,0,
2025-12-27,3810819,3810819,100.00,7,6,0,
2025-12-28,3810819,3810819,100.00,7,6,0,
2025-12-29,3810819,3810819,100.00,7,6,0,
2025-12-30,3810819,3810819,100.00,7,6,0,
2025-12-31,3810819,3810819,100.00,7,6,0,
2026-1-1,3810819,3810819,100.00,7,6,0,
2026-1-2,3810819,3810819,100.00,7,6,0,
2026-1-3,3810819,3810819,100.00,7,6,0,
2026-1-4,3810819,3810819,100.00,7,6,0,
2026-1-5,3810819,3810819,100.00,7,6,0,
2026-1-6,3810819,3810819,100.00,7,6,0,
2026-1-7,3810819,3810819,100.00,7,6,0,
2026-1-8,3810819,3810819,100.00,7,6,0,
2026-1-9,3810819,3810819,100.00,7,6,0,
2026-1-10,3810819,3771678,98.97,7,6,1,ieou2
2026-1-11,3810819,3810819,100.00,7,6,0,
2026-1-12,3810819,3810819,100.00,7,6,0,
