day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,5534409,5534409,100.00,10,8,0,
2025-12-15,5534409,5534409,100.00,10,8,0,
2025-12-16,5534409,5534409,100.00,10,8,0,
2025-12-17,5534409,5534409,100.00,10,8,0,
2025-12-18,5534409,5534409,100.00,10,8,0,
2025-12-19,5534409,5534409,100.00,10,8,0,
2025-12-20,5534409,5534409,100.00,10,8,0,
2025-12-21,5534409,5534409,100.00,10,8,0,
2025-12-22,5534409,5534409,100.00,10,8,0,
2025-12-23,5534409,5534409,100.00,10,8,0,
2025-12-24,5534409,5534409,100.00,10,8,0,
2025-12-25,5534409,5534409,100.00,10,8,0,
2025-12-26,5534409,5455284,98.57,10,8,4,"efnid, pojjf, vte5d, wdg4t"
2025-12-27,5534409,5534409,100.00,10,8,0,
2025-12-28,5534409,5534409,100.00,10,8,0,
2025-12-29,5534409,5534409,100.00,10,8,0,
2025-12-30,5534409,5534409,100.00,10,8,0,
2025-12-31,5534409,5534409,100.00,10,8,0,
2026-1-1,5534409,5534409,100.00,10,8,0,
2026-1-2,5534409,5534409,100.00,10,8,0,
2026-1-3,5534409,5534409,100.00,10,8,0,
2026-1-4,5534409,5534409,100.00,10,8,0,
2026-1-5,5534409,5534409,100.00,10,8,0,
2026-1-6,5534409,5534409,100.00,10,8,0,
2026-1-7,5534409,5534409,100.00,10,8,0,
2026-1-8,5534409,5534409,100.00,10,8,0,
2026-1-9,5534409,5534409,100.00,10,8,0,
2026-1-10,5534409,5534409,100.00,10,8,0,
2026-1-11,5534409,5534409,100.00,10,8,0,
2026-1-12,5534409,5534409,100.00,10,8,0,
