day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-14,zgeaf-fcq4e-fcnht-g7mpg-sb7ff-r6awk-zvkwp-gkloc-rr6jl-ghsse-mqe,type3.1,"Europe,EE,Tallinn",ta2,Assigned,1,506447.6386036961,506447.6386036961,5kdm2-62fc6-fwnja-hutkz-ycsnm-4z33i-woh43-4cenu-ev7mi-gii6t-4ae,0.00796136778908901,15202,122,0.00796136778908901,0,
2025-12-14,k2ovz-ptdmz-hzmkh-ntfqn-evhux-ktxz4-26jg6-qjjsa-rpgal-wkdjo-kqe,type3.1,"Europe,LV,Riga",rg3,Assigned,1,506447.6386036961,506447.6386036961,tdb26-jop6k-aogll-7ltgs-eruif-6kk7m-qpktf-gdiqx-mxtrf-vb5e6-eqe,0.0018832391713747647,3775,0,0,0,
2025-12-14,u3ahx-ft3kq-pzlkr-imzus-aeqxm-cirqv-ymehh-xzctz-os4ud-3a74m-vae,type3.1,"Europe,PT,Lisbon",li1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-14,cl43a-f4cfk-5bhhf-ro5s7-q7w6d-2vqow-3apn6-psfrl-i53ay-pykvk-mqe,type3.1,"Europe,CZ,Praha",pa2,Assigned,1,506447.6386036961,506447.6386036961,opn46-zyspe-hhmyp-4zu6u-7sbrh-dok77-m7dch-im62f-vyimr-a3n2c-4ae,0.017154105736782905,10706,6,0.0005601194921583271,0,
2025-12-14,lsew2-tmjjw-ytiyx-st6sx-qo2wi-cxu3e-sgidd-i34jd-okjsn-rtli5-cqe,type3.1,"Europe,LT,Vilnius",bt1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-14,qzvif-vpece-l4rga-6l6v7-tdegr-ycnty-p3zgo-qzghb-v5hmq-edjbv-lqe,type3.1,"Europe,PL,Warszawa",wa3,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-14,jj7si-b7rs7-nq7sv-npame-aec3y-2anip-ol5s6-gxbh7-kjbg2-a5u6j-rae,type3.1,"Europe,ES,Madrid",ma1,Assigned,1,506447.6386036961,506447.6386036961,6pbhf-qzpdk-kuqbr-pklfa-5ehhf-jfjps-zsj6q-57nrl-kzhpd-mu7hc-vae,0.006998444790046656,14124,2,0.00014158289678606824,0,
2025-12-15,zgeaf-fcq4e-fcnht-g7mpg-sb7ff-r6awk-zvkwp-gkloc-rr6jl-ghsse-mqe,type3.1,"Europe,EE,Tallinn",ta2,Assigned,1,506447.6386036961,506447.6386036961,5kdm2-62fc6-fwnja-hutkz-ycsnm-4z33i-woh43-4cenu-ev7mi-gii6t-4ae,0.006051336613911425,15029,25,0.0016606881891855984,0,
2025-12-15,k2ovz-ptdmz-hzmkh-ntfqn-evhux-ktxz4-26jg6-qjjsa-rpgal-wkdjo-kqe,type3.1,"Europe,LV,Riga",rg3,Assigned,1,506447.6386036961,506447.6386036961,tdb26-jop6k-aogll-7ltgs-eruif-6kk7m-qpktf-gdiqx-mxtrf-vb5e6-eqe,0.003207698476343224,3886,1,0.0002572678157962439,0,
2025-12-15,u3ahx-ft3kq-pzlkr-imzus-aeqxm-cirqv-ymehh-xzctz-os4ud-3a74m-vae,type3.1,"Europe,PT,Lisbon",li1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-15,cl43a-f4cfk-5bhhf-ro5s7-q7w6d-2vqow-3apn6-psfrl-i53ay-pykvk-mqe,type3.1,"Europe,CZ,Praha",pa2,Assigned,1,506447.6386036961,506447.6386036961,opn46-zyspe-hhmyp-4zu6u-7sbrh-dok77-m7dch-im62f-vyimr-a3n2c-4ae,0.00481881264456438,10503,4,0.00038069858189778246,0,
2025-12-15,lsew2-tmjjw-ytiyx-st6sx-qo2wi-cxu3e-sgidd-i34jd-okjsn-rtli5-cqe,type3.1,"Europe,LT,Vilnius",bt1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-15,qzvif-vpece-l4rga-6l6v7-tdegr-ycnty-p3zgo-qzghb-v5hmq-edjbv-lqe,type3.1,"Europe,PL,Warszawa",wa3,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-15,jj7si-b7rs7-nq7sv-npame-aec3y-2anip-ol5s6-gxbh7-kjbg2-a5u6j-rae,type3.1,"Europe,ES,Madrid",ma1,Assigned,1,506447.6386036961,506447.6386036961,6pbhf-qzpdk-kuqbr-pklfa-5ehhf-jfjps-zsj6q-57nrl-kzhpd-mu7hc-vae,0.0046979865771812086,13610,2,0.00014692918013517483,0,
2025-12-16,zgeaf-fcq4e-fcnht-g7mpg-sb7ff-r6awk-zvkwp-gkloc-rr6jl-ghsse-mqe,type3.1,"Europe,EE,Tallinn",ta2,Assigned,1,506447.6386036961,506447.6386036961,5kdm2-62fc6-fwnja-hutkz-ycsnm-4z33i-woh43-4cenu-ev7mi-gii6t-4ae,0.012132074171089819,14725,44,0.0029792132168731805,0,
2025-12-16,k2ovz-ptdmz-hzmkh-ntfqn-evhux-ktxz4-26jg6-qjjsa-rpgal-wkdjo-kqe,type3.1,"Europe,LV,Riga",rg3,Assigned,1,506447.6386036961,506447.6386036961,tdb26-jop6k-aogll-7ltgs-eruif-6kk7m-qpktf-gdiqx-mxtrf-vb5e6-eqe,0.0015155342258145997,3802,2,0.0005257623554153522,0,
2025-12-16,u3ahx-ft3kq-pzlkr-imzus-aeqxm-cirqv-ymehh-xzctz-os4ud-3a74m-vae,type3.1,"Europe,PT,Lisbon",li1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-16,cl43a-f4cfk-5bhhf-ro5s7-q7w6d-2vqow-3apn6-psfrl-i53ay-pykvk-mqe,type3.1,"Europe,CZ,Praha",pa2,Assigned,1,506447.6386036961,506447.6386036961,opn46-zyspe-hhmyp-4zu6u-7sbrh-dok77-m7dch-im62f-vyimr-a3n2c-4ae,0.005708204334365325,10611,13,0.001223644578313253,0,
2025-12-16,lsew2-tmjjw-ytiyx-st6sx-qo2wi-cxu3e-sgidd-i34jd-okjsn-rtli5-cqe,type3.1,"Europe,LT,Vilnius",bt1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-16,qzvif-vpece-l4rga-6l6v7-tdegr-ycnty-p3zgo-qzghb-v5hmq-edjbv-lqe,type3.1,"Europe,PL,Warszawa",wa3,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
