day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-14,y7bml-csbq7-euzyf-njmvm-qfftp-iy7lc-wisaq-jlmul-sdo7p-7lkx4-3ae,type3.1,"North America,PA,Panama City",pc1,Unassigned,1,657341.0959958932,657341.0959958932,,,,,,,0.000703719732015411
2025-12-14,euo2x-vl67u-3vtja-yrovf-oah6r-pq43e-pn522-j3zq2-pnly3-ad7wd-lqe,type3.1,"North America,PA,Panama City",pc1,Assigned,1,657341.0959958932,657341.0959958932,opn46-zyspe-hhmyp-4zu6u-7sbrh-dok77-m7dch-im62f-vyimr-a3n2c-4ae,0.017154105736782905,10937,11,0.0010047497259773476,0,
2025-12-14,2xph2-xvn4v-pc5xz-3upfj-etpio-qaf2k-d2s3v-jnceu-vcher-qhqav-rqe,type3.1,"North America,PA,Panama City",pc1,Assigned,1,657341.0959958932,657341.0959958932,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.003153153153153153,4535,24,0.005264312349199387,0.0021111591960462327,
2025-12-14,bxczc-ao2x4-yzmq4-o2ezo-7mjct-ypeqs-6rcyl-ozl5d-j64m6-blata-iae,type3.1,"North America,PA,Panama City",pc1,Assigned,1,657341.0959958932,657341.0959958932,qdvhd-os4o2-zzrdw-xrcv4-gljou-eztdp-bj326-e6jgr-tkhuc-ql6v2-yqe,0.0626402993051844,9225,9,0.0009746588693957114,0,
2025-12-15,y7bml-csbq7-euzyf-njmvm-qfftp-iy7lc-wisaq-jlmul-sdo7p-7lkx4-3ae,type3.1,"North America,PA,Panama City",pc1,Unassigned,1,657341.0959958932,657341.0959958932,,,,,,,0
2025-12-15,euo2x-vl67u-3vtja-yrovf-oah6r-pq43e-pn522-j3zq2-pnly3-ad7wd-lqe,type3.1,"North America,PA,Panama City",pc1,Assigned,1,657341.0959958932,657341.0959958932,opn46-zyspe-hhmyp-4zu6u-7sbrh-dok77-m7dch-im62f-vyimr-a3n2c-4ae,0.00481881264456438,10383,7,0.0006737247353224255,0,
2025-12-15,2xph2-xvn4v-pc5xz-3upfj-etpio-qaf2k-d2s3v-jnceu-vcher-qhqav-rqe,type3.1,"North America,PA,Panama City",pc1,Assigned,1,657341.0959958932,657341.0959958932,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0025,4389,11,0.0025,0,
2025-12-15,bxczc-ao2x4-yzmq4-o2ezo-7mjct-ypeqs-6rcyl-ozl5d-j64m6-blata-iae,type3.1,"North America,PA,Panama City",pc1,Assigned,1,657341.0959958932,657341.0959958932,qdvhd-os4o2-zzrdw-xrcv4-gljou-eztdp-bj326-e6jgr-tkhuc-ql6v2-yqe,0.04023767330345043,9614,9,0.0009352592746544738,0,
2025-12-16,y7bml-csbq7-euzyf-njmvm-qfftp-iy7lc-wisaq-jlmul-sdo7p-7lkx4-3ae,type3.1,"North America,PA,Panama City",pc1,Unassigned,1,657341.0959958932,657341.0959958932,,,,,,,0
2025-12-16,euo2x-vl67u-3vtja-yrovf-oah6r-pq43e-pn522-j3zq2-pnly3-ad7wd-lqe,type3.1,"North America,PA,Panama City",pc1,Assigned,1,657341.0959958932,657341.0959958932,opn46-zyspe-hhmyp-4zu6u-7sbrh-dok77-m7dch-im62f-vyimr-a3n2c-4ae,0.005708204334365325,10484,13,0.001238449080689721,0,
2025-12-16,2xph2-xvn4v-pc5xz-3upfj-etpio-qaf2k-d2s3v-jnceu-vcher-qhqav-rqe,type3.1,"North America,PA,Panama City",pc1,Assigned,1,657341.0959958932,657341.0959958932,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0016758439071103664,4228,7,0.001652892561983471,0,
