day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-15,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-16,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-17,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-18,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-19,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-20,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-21,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-22,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-23,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-24,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-25,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-26,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-27,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-28,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-29,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-30,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2025-12-31,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-1,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-2,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-3,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-4,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-5,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-6,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-7,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-8,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-9,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-10,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-11,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
2026-1-12,15415000,506447.6386036961,type3.1,"Europe,CZ,South Moravian Region"
