day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-15,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-16,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-17,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-18,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-19,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-20,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-21,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-22,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-23,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-24,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-25,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-26,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-27,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-28,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-29,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-30,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2025-12-31,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-1,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-2,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-3,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-4,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-5,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-6,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-7,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-8,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-9,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-10,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-11,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
2026-1-12,Europe:CZ,6,506447.6386036961,0.95,447206.95479979465
