day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-14,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-15,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-15,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-16,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-16,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-17,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-17,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-18,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-18,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-19,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-19,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-20,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-20,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-21,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-21,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-22,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-22,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-23,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-23,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-24,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-24,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-25,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-25,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-26,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-26,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-27,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-27,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-28,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-28,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-29,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-29,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-30,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-30,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2025-12-31,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2025-12-31,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-1,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-1,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-2,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-2,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-3,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-3,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-4,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-4,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-5,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-5,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-6,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-6,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-7,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-7,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-8,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-8,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-9,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-9,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-10,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-10,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-11,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-11,10040000,329856.26283367554,type1.1,"North America,US,Texas"
2026-1-12,10040000,329856.26283367554,type1.1,"North America,US,Nevada"
2026-1-12,10040000,329856.26283367554,type1.1,"North America,US,Texas"
