day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,13853963,13853963,100.00,42,21,0,
2025-12-15,13853963,13853963,100.00,42,21,0,
2025-12-16,13853963,13853963,100.00,42,21,0,
2025-12-17,13853963,13743297,99.20,42,21,1,z44cx
2025-12-18,13853963,13853963,100.00,42,21,0,
2025-12-19,13853963,13853963,100.00,42,21,0,
2025-12-20,13853963,13853963,100.00,42,21,0,
2025-12-21,13853963,13670604,98.68,42,21,1,z44cx
2025-12-22,13853963,13745499,99.22,42,21,1,z44cx
2025-12-23,13853963,13668556,98.66,42,21,1,z44cx
2025-12-24,13853963,13720041,99.03,42,21,1,z44cx
2025-12-25,13853963,13853963,100.00,42,21,0,
2025-12-26,13853963,13853963,100.00,42,21,0,
2025-12-27,13853963,13853963,100.00,42,21,0,
2025-12-28,13853963,13853963,100.00,42,21,0,
2025-12-29,13853963,13853963,100.00,42,21,0,
2025-12-30,13853963,13853963,100.00,42,21,0,
2025-12-31,13853963,13853963,100.00,42,21,0,
2026-1-1,13853963,13853963,100.00,42,21,0,
2026-1-2,13853963,13845151,99.94,42,21,1,z44cx
2026-1-3,13853963,13606184,98.21,42,21,1,z44cx
2026-1-4,13853963,13590078,98.10,42,21,1,z44cx
2026-1-5,13853963,13590078,98.10,42,21,1,z44cx
2026-1-6,13853963,13767854,99.38,42,21,1,z44cx
2026-1-7,13853963,13853963,100.00,42,21,0,
2026-1-8,13853963,13827135,99.81,42,21,1,z44cx
2026-1-9,13853963,13590078,98.10,42,21,1,z44cx
2026-1-10,13853963,13590078,98.10,42,21,1,z44cx
2026-1-11,13853963,13590078,98.10,42,21,1,z44cx
2026-1-12,13853963,13590078,98.10,42,21,1,z44cx
