day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-15,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-16,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-17,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-18,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-19,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-20,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-21,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-22,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-23,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-24,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-25,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-26,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-27,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-28,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-29,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-30,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2025-12-31,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-1,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-2,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-3,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-4,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-5,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-6,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-7,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-8,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-9,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-10,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-11,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
2026-1-12,22000000,722792.6078028748,type3.1,"Asia,LK,Colombo"
