day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-15,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-16,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-17,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-18,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-19,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-20,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-21,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-22,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-23,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-24,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-25,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-26,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-27,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-28,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-29,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-30,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2025-12-31,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-1,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-2,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-3,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-4,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-5,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-6,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-7,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-8,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-9,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-10,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-11,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
2026-1-12,Asia:LK,6,722792.6078028748,0.95,638245.4106776181
