day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-30,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2025-12-31,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-1,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-2,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-3,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-4,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-5,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-6,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-7,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-8,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-9,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-10,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-11,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
2026-1-12,15415000,506447.6386036961,type3.1,"Europe,CH,Fribourg"
