day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-15,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-16,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-17,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-18,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-19,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-20,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-21,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-22,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-23,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-24,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-25,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-26,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-27,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-28,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-29,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-30,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2025-12-31,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-1,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-2,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-3,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-4,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-5,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-6,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-7,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-8,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-9,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-10,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-11,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
2026-1-12,19583333,643394.9240246407,type3.1,"Oceania,AU,Queensland"
