day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,5163412,5163412,100.00,10,10,0,
2025-12-15,5163412,5163412,100.00,10,10,0,
2025-12-16,5163412,5163412,100.00,10,10,0,
2025-12-17,5163412,5163412,100.00,10,10,0,
2025-12-18,5163412,5163412,100.00,10,10,0,
2025-12-19,5163412,5163412,100.00,10,10,0,
2025-12-20,5163412,5163412,100.00,10,10,0,
2025-12-21,5163412,5163412,100.00,10,10,0,
2025-12-22,5163412,5163412,100.00,10,10,0,
2025-12-23,5163412,5163412,100.00,10,10,0,
2025-12-24,5163412,5163412,100.00,10,10,0,
2025-12-25,5163412,5163412,100.00,10,10,0,
2025-12-26,5163412,5163412,100.00,10,10,0,
2025-12-27,5163412,5163412,100.00,10,10,0,
2025-12-28,5163412,5163412,100.00,10,10,0,
2025-12-29,5163412,5163412,100.00,10,10,0,
2025-12-30,5163412,5163412,100.00,10,10,0,
2025-12-31,5163412,5163412,100.00,10,10,0,
2026-1-1,5163412,5163412,100.00,10,10,0,
2026-1-2,5163412,5163412,100.00,10,10,0,
2026-1-3,5163412,5160328,99.94,10,10,1,7f5c7
2026-1-4,5163412,5023856,97.30,10,10,3,"56ovz, 7f5c7, zjiki"
2026-1-5,5163412,5163412,100.00,10,10,0,
2026-1-6,5163412,5163412,100.00,10,10,0,
2026-1-7,5163412,5122273,99.20,10,10,1,56ovz
2026-1-8,5163412,5163412,100.00,10,10,0,
2026-1-9,5163412,5163412,100.00,10,10,0,
2026-1-10,5163412,5163412,100.00,10,10,0,
2026-1-11,5163412,5163412,100.00,10,10,0,
2026-1-12,5163412,5163412,100.00,10,10,0,
