day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-15,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-16,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-17,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-18,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-19,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-20,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-21,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-22,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-23,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-24,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-25,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-26,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-27,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-28,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-29,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-30,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2025-12-31,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-1,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-2,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-3,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-4,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-5,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-6,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-7,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-8,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-9,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-10,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-11,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
2026-1-12,Asia:HK,10,631635.8767967146,0.95,506904.2904205998
