day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,5069042,5069042,100.00,10,4,0,
2025-12-15,5069042,5069042,100.00,10,4,0,
2025-12-16,5069042,5069042,100.00,10,4,0,
2025-12-17,5069042,5069042,100.00,10,4,0,
2025-12-18,5069042,5069042,100.00,10,4,0,
2025-12-19,5069042,5069042,100.00,10,4,0,
2025-12-20,5069042,5069042,100.00,10,4,0,
2025-12-21,5069042,5069042,100.00,10,4,0,
2025-12-22,5069042,5069042,100.00,10,4,0,
2025-12-23,5069042,5069042,100.00,10,4,0,
2025-12-24,5069042,5069042,100.00,10,4,0,
2025-12-25,5069042,5069042,100.00,10,4,0,
2025-12-26,5069042,5069042,100.00,10,4,0,
2025-12-27,5069042,5069042,100.00,10,4,0,
2025-12-28,5069042,5069042,100.00,10,4,0,
2025-12-29,5069042,5069042,100.00,10,4,0,
2025-12-30,5069042,5069042,100.00,10,4,0,
2025-12-31,5069042,5069042,100.00,10,4,0,
2026-1-1,5069042,5069042,100.00,10,4,0,
2026-1-2,5069042,5069042,100.00,10,4,0,
2026-1-3,5069042,5069042,100.00,10,4,0,
2026-1-4,5069042,5069042,100.00,10,4,0,
2026-1-5,5069042,5069042,100.00,10,4,0,
2026-1-6,5069042,5069042,100.00,10,4,0,
2026-1-7,5069042,5069042,100.00,10,4,0,
2026-1-8,5069042,5069042,100.00,10,4,0,
2026-1-9,5069042,5069042,100.00,10,4,0,
2026-1-10,5069042,5069042,100.00,10,4,0,
2026-1-11,5069042,5069042,100.00,10,4,0,
2026-1-12,5069042,5069042,100.00,10,4,0,
