day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-14,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-15,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-16,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-17,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-18,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-19,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-20,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-21,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-22,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-23,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-24,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-25,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-26,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-27,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-28,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-29,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-30,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-31,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-1,ezsx4-peoff-6kofj-yz6vt-gc42v-iugvx-vit2r-edy37-qv4bt-ivcxy-kae,type3.1,"Europe,CH,Zug",sz1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
