day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-15,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-16,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-17,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-18,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-19,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-20,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-21,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-22,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-23,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-24,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-25,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-26,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-27,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-28,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-29,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-30,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2025-12-31,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-1,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-2,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-3,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-4,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-5,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-6,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-7,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-8,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-9,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-10,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-11,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
2026-1-12,13570000,445831.62217659137,type1.1,"Europe,IM,Douglas"
