day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-14,ft44n-3qcdt-c47xp-npyvd-uhufm-2eplp-ntxee-wewmy-d5sun-7wr3r-dqe,type1.1,"Europe,IM,Douglas",im2,Unassigned,1,445831.62217659137,445831.62217659137,,,,,,,0.00009588719578810747
2025-12-14,x34do-riu6i-7pn3y-5pl7d-zs532-xduns-xaadp-4e34h-casgh-qywuj-7ae,type1.1,"Europe,IM,Douglas",im2,Assigned,1,445831.62217659137,445831.62217659137,uzr34-akd3s-xrdag-3ql62-ocgoh-ld2ao-tamcv-54e7j-krwgb-2gm4z-oqe,0.002907504997274214,5279,21,0.003962264150943397,0.0010547591536691821,
2025-12-14,rtjw5-ja7cv-j7nyl-jc5mc-t7lol-wjouh-nh6tm-baoba-wzra6-toyp5-iqe,type1.1,"Europe,IM,Douglas",im2,Assigned,1,445831.62217659137,445831.62217659137,pzp6e-ekpqk-3c5x7-2h6so-njoeq-mt45d-h3h6c-q3mxf-vpeq5-fk5o7-yae,0.0045701849836779105,4637,2,0.00043112739814615223,0,
2025-12-14,elru4-sjdrj-2rqqx-5lxfv-3i5dw-ktzok-7kr5v-un3y6-pubcf-7x47m-zae,type1.1,"Europe,IM,Douglas",im2,Assigned,1,445831.62217659137,445831.62217659137,k44fs-gm4pv-afozh-rs7zw-cg32n-u7xov-xqyx3-2pw5q-eucnu-cosd4-uqe,0.005341579983131852,14088,15,0.0010636034886194429,0,
2025-12-14,fgia3-griks-i7sua-ejuw4-gcknm-45oqb-j5sgc-u6fpm-32lac-qypz2-pae,type1.1,"Europe,IM,Douglas",im2,Unassigned,1,445831.62217659137,445831.62217659137,,,,,,,0.00009588719578810747
2025-12-14,4nldz-xzkm4-2y6gi-nw2s4-wuz54-xonqo-alj57-tgeqb-hbeyf-epcgh-kqe,type1.1,"Europe,IM,Douglas",im2,Assigned,1,445831.62217659137,445831.62217659137,kp5jj-kpgmn-f4ohx-uqot6-wtbbr-lmtqv-kpkaf-gcksv-snkwm-43kmy-iae,0.0002487562189054727,16031,3,0.00018710240738430836,0,
2025-12-14,24fsy-32ewt-f447o-7p5th-njgys-2qawz-gk5iw-k4qzj-7opkx-ofbm3-5qe,type1.1,"Europe,IM,Douglas",im2,Unassigned,1,445831.62217659137,445831.62217659137,,,,,,,0.00009588719578810747
2025-12-14,l3v55-pc5xy-ee2mn-xdaat-xijfl-kecfg-rod7w-33huw-ef5kl-euqqz-wae,type1.1,"Europe,IM,Douglas",im2,Unassigned,1,445831.62217659137,445831.62217659137,,,,,,,0.00009588719578810747
2025-12-14,mfkgh-d27bh-3yri7-xidqr-obad6-j234b-tjbkl-o5vyk-upoqn-4qktt-pqe,type1.1,"Europe,IM,Douglas",im2,Unassigned,1,445831.62217659137,445831.62217659137,,,,,,,0.00009588719578810747
2025-12-14,j7xyq-edeef-uxics-7sljd-mqq66-u5l5o-d73sc-yybxs-rjawv-muuj4-oqe,type1.1,"Europe,IM,Douglas",im2,Unassigned,1,445831.62217659137,445831.62217659137,,,,,,,0.00009588719578810747
2025-12-14,2xqqr-g3ltb-muk6e-5mmjr-bmxvo-3vuab-n7n2z-fecrs-burep-2bhu4-oqe,type1.1,"Europe,IM,Douglas",im2,Assigned,1,445831.62217659137,445831.62217659137,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.003153153153153153,4342,1,0.00023025558369790466,0,
2025-12-14,juekk-gtlvt-w4pn6-m526i-w3iya-5p526-ln6dx-tbife-e63eh-n7d7i-cqe,type1.1,"Europe,IM,Douglas",im2,Unassigned,1,445831.62217659137,445831.62217659137,,,,,,,0.00009588719578810747
2025-12-14,xbeha-2lqtl-qb5tx-t2zgf-y3t22-iuqkv-fhemo-dnpr5-wwlxl-auyrq-jae,type1.1,"Europe,IM,Douglas",im2,Assigned,1,445831.62217659137,445831.62217659137,xok3w-cnepj-fg6aa-cjitt-uoxod-4ddsy-nc7dq-zwudz-o6jar-rzstb-gqe,0.0003826774666751706,15579,1,0.00006418485237483954,0,
2025-12-14,5krcu-e3t4g-aa2al-x6tzs-o4a4p-ulx3p-sbk2n-fregk-xswvx-yrueq-eqe,type1.1,"Europe,IM,Douglas",im2,Unassigned,1,445831.62217659137,445831.62217659137,,,,,,,0.00009588719578810747
