day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-14,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-15,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-16,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-17,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-18,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-19,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-20,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-21,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-22,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-23,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-24,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-25,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-26,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-27,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-28,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-29,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-30,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-31,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-1,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-2,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-3,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-4,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-5,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-6,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-7,eaaef-crr36-d3ou2-fuyyz-mluny-cfm3r-zu4rf-22dhz-njgck-jres2-xqe,type3.1,"Europe,CH,Aargau",ag1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
