day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-14,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-14,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-15,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-15,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-16,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-16,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-17,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-17,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-18,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-18,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-19,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-19,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-20,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-20,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-21,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-21,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-22,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-22,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-23,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-23,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-24,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-24,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-25,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-25,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-26,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-26,oxevh-yptgl-yzu2p-w6dyn-lr6jc-b2xaq-aatz2-yyfot-hm4pr-ucvh6-gae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
2025-12-27,lj6xb-t5tcb-dol3s-ay52b-dulse-zyezk-25qyv-l7yqj-4zrc2-hp5qz-sae,type3,"Europe,CH,Zurich",zh5,Unassigned,1,493786.4476386037,493786.4476386037,,,,,,,0
