day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-15,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-16,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-17,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-18,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-19,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-20,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-21,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-22,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-23,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-24,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-25,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-26,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-27,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-28,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-29,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-30,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2025-12-31,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-1,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-2,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-3,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-4,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-5,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-6,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-7,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-8,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-9,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-10,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-11,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
2026-1-12,Oceania:AU,18,643394.9240246407,0.95,430921.3864207953
