day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,7756584,7635186,98.43,18,16,2,"hckfw, vhw7k"
2025-12-15,7756584,7641693,98.52,18,16,1,vhw7k
2025-12-16,7756584,7654536,98.68,18,16,1,vhw7k
2025-12-17,7756584,7676461,98.97,18,16,1,vhw7k
2025-12-18,7756584,7669201,98.87,18,16,2,"hckfw, vhw7k"
2025-12-19,7756584,7599392,97.97,18,16,1,vhw7k
2025-12-20,7756584,7586899,97.81,18,16,1,vhw7k
2025-12-21,7756584,7629804,98.37,18,16,1,vhw7k
2025-12-22,7756584,7603476,98.03,18,16,2,"hckfw, vhw7k"
2025-12-23,7756584,7622279,98.27,18,16,1,vhw7k
2025-12-24,7756584,7637978,98.47,18,16,1,vhw7k
2025-12-25,7756584,7672016,98.91,18,16,1,vhw7k
2025-12-26,7756584,7478248,96.41,18,16,1,vhw7k
2025-12-27,7756584,7630397,98.37,18,16,1,vhw7k
2025-12-28,7756584,7666265,98.84,18,16,1,vhw7k
2025-12-29,7756584,7554542,97.40,18,16,1,vhw7k
2025-12-30,7756584,7609263,98.10,18,16,1,vhw7k
2025-12-31,7756584,7635362,98.44,18,16,1,vhw7k
2026-1-1,7756584,7627860,98.34,18,16,1,vhw7k
2026-1-2,7756584,7539832,97.21,18,16,2,"hckfw, vhw7k"
2026-1-3,7756584,6936763,89.43,18,16,12,"3lwco, 6bt7p, d6thv, hckfw, hrhn3, njrl2, un26u, vhw7k, xhha5, xs5iy, zjcl6, ztrgw"
2026-1-4,7756584,6764905,87.22,18,16,11,"3lwco, d6thv, hckfw, hrhn3, un26u, vhw7k, xhha5, xs5iy, yjbaw, zjcl6, ztrgw"
2026-1-5,7756584,7093608,91.45,18,16,10,"3lwco, d6thv, hckfw, hrhn3, un26u, vhw7k, xhha5, yjbaw, zjcl6, ztrgw"
2026-1-6,7756584,7642378,98.53,18,16,2,"hckfw, vhw7k"
2026-1-7,7756584,7512931,96.86,18,16,5,"hckfw, hrhn3, vhw7k, xhha5, ztrgw"
2026-1-8,7756584,7628688,98.35,18,16,2,"hckfw, vhw7k"
2026-1-9,7756584,7751652,99.94,18,16,1,vhw7k
2026-1-10,7756584,7756584,100.00,18,16,0,
2026-1-11,7756584,7756584,100.00,18,16,0,
2026-1-12,7756584,7756584,100.00,18,16,0,
