day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,3545133,3545133,100.00,7,2,0,
2025-12-15,3545133,3545133,100.00,7,2,0,
2025-12-16,3545133,3545133,100.00,7,2,0,
2025-12-17,3545133,3545133,100.00,7,2,0,
2025-12-18,3545133,3545133,100.00,7,2,0,
2025-12-19,3545133,3545133,100.00,7,2,0,
2025-12-20,3545133,3545133,100.00,7,2,0,
2025-12-21,3545133,3545133,100.00,7,2,0,
2025-12-22,3545133,3545133,100.00,7,2,0,
2025-12-23,3545133,3545133,100.00,7,2,0,
2025-12-24,3545133,3545133,100.00,7,2,0,
2025-12-25,3545133,3545133,100.00,7,2,0,
2025-12-26,3545133,3545133,100.00,7,2,0,
2025-12-27,3545133,3545133,100.00,7,2,0,
2025-12-28,3545133,3545133,100.00,7,2,0,
2025-12-29,3545133,3545133,100.00,7,2,0,
2025-12-30,3545133,3545133,100.00,7,2,0,
2025-12-31,3545133,3545133,100.00,7,2,0,
2026-1-1,3545133,3545133,100.00,7,2,0,
2026-1-2,3545133,3545133,100.00,7,2,0,
2026-1-3,3545133,3545133,100.00,7,2,0,
2026-1-4,3545133,3545133,100.00,7,2,0,
2026-1-5,3545133,3545133,100.00,7,2,0,
2026-1-6,3545133,3545133,100.00,7,2,0,
2026-1-7,3545133,3545133,100.00,7,2,0,
2026-1-8,3545133,3545133,100.00,7,2,0,
2026-1-9,3545133,3545133,100.00,7,2,0,
2026-1-10,3545133,3545133,100.00,7,2,0,
2026-1-11,3545133,3545133,100.00,7,2,0,
2026-1-12,3545133,3545133,100.00,7,2,0,
