day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,6067829,6067829,100.00,16,14,0,
2025-12-15,6067829,6067829,100.00,16,14,0,
2025-12-16,6067829,6067829,100.00,16,14,0,
2025-12-17,6067829,6067829,100.00,16,14,0,
2025-12-18,6067829,6067829,100.00,16,14,0,
2025-12-19,6067829,6067829,100.00,16,14,0,
2025-12-20,6067829,6067829,100.00,16,14,0,
2025-12-21,6067829,6067829,100.00,16,14,0,
2025-12-22,6067829,6067829,100.00,16,14,0,
2025-12-23,6067829,6067829,100.00,16,14,0,
2025-12-24,6067829,6067829,100.00,16,14,0,
2025-12-25,6067829,6067829,100.00,16,14,0,
2025-12-26,6067829,6067829,100.00,16,14,0,
2025-12-27,6067829,6067829,100.00,16,14,0,
2025-12-28,6067829,6067829,100.00,16,14,0,
2025-12-29,6067829,6067829,100.00,16,15,0,
2025-12-30,6067829,6067829,100.00,16,15,0,
2025-12-31,6067829,6067829,100.00,16,15,0,
2026-1-1,6067829,6067829,100.00,16,15,0,
2026-1-2,6067829,6067829,100.00,16,15,0,
2026-1-3,6067829,6067829,100.00,16,15,0,
2026-1-4,6067829,6067829,100.00,16,15,0,
2026-1-5,6067829,6067829,100.00,16,15,0,
2026-1-6,6067829,5790885,95.44,16,15,1,y6xdi
2026-1-7,6067829,5788564,95.40,16,15,1,y6xdi
2026-1-8,6067829,5788564,95.40,16,15,1,y6xdi
2026-1-9,6067829,5788564,95.40,16,15,1,y6xdi
2026-1-10,6067829,5788564,95.40,16,15,1,y6xdi
2026-1-11,6067829,5788564,95.40,16,15,1,y6xdi
2026-1-12,6067829,5788564,95.40,16,15,1,y6xdi
