day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-14,5u6dm-zixbp-mbblj-xc7en-hsc7i-upw4t-3dzyb-63tfg-h3f5p-3q3b5-4qe,type1.1,"North America,US,California",sj2,Assigned,1,352197.1252566735,352197.1252566735,3hhby-wmtmw-umt4t-7ieyg-bbiig-xiylg-sblrt-voxgt-bqckd-a75bf-rqe,0.026586684440494706,13555,72,0.005283628091289352,0,
2025-12-14,zv7yn-pa2fv-x4jms-x4ynr-bghtf-zwviq-6wtyi-jywso-fqxoy-vbmpv-pqe,type1.1,"North America,US,California",sj2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,lbtrj-azdla-prvej-5eaug-6b422-ziq7f-lyudv-xtfql-kjv3p-huuti-nae,type1.1,"North America,US,California",sj2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,cwftn-crfgv-mhytn-tdjrf-xg45p-bqowe-b7lmz-r46vz-ii2ev-kr3bl-rqe,type1.1,"North America,US,California",sj2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,mvx7r-gcjs6-emuc5-ijos2-5egv7-ic35n-ocbfd-tjgvp-kydc5-5tshk-lqe,type1.1,"North America,US,California",sj2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,wzlzb-tsogt-yb3nr-l44x6-moo2i-ccd2g-i3mu7-66e2n-6bacx-i2h47-hqe,type1.1,"North America,US,California",sj2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,xo5aj-2kwg2-svhz6-kvtc7-hrzw3-4dsx2-mrioo-h4pcb-6nwap-w5dqx-vae,type1.1,"North America,US,California",sj2,Assigned,1,352197.1252566735,352197.1252566735,mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae,0.015233616194663123,9902,71,0.007119221899127645,0,
2025-12-14,rukdg-aswl7-rj4ll-qpnza-vhmtw-qooxv-zf5kk-zhvnu-o5bxa-ftekj-dae,type1.1,"North America,US,California",sj2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,6joub-fk2lr-mcxa6-lo2x5-e3alk-lrgf5-6slof-x7yxi-m6ceb-up5wv-qqe,type1.1,"North America,US,California",sj2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,rs6nl-3tgam-nozcx-g77tr-hcslf-hpnhd-zl5ah-p4aei-pwqyr-rebml-vqe,type1.1,"North America,US,California",sj2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,um5l7-ktiyh-sggql-murjx-27rjp-xw52j-gopyv-cvrl2-sc6ez-x34mv-7qe,type1.1,"North America,US,California",sj2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
