day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,9861519,9861519,100.00,28,2,0,
2025-12-15,9861519,9861519,100.00,28,2,0,
2025-12-16,9861519,9861519,100.00,28,2,0,
2025-12-17,9861519,9861519,100.00,28,2,0,
2025-12-18,9861519,9861519,100.00,28,2,0,
2025-12-19,9861519,9861519,100.00,28,2,0,
2025-12-20,9861519,9861519,100.00,28,2,0,
2025-12-21,9861519,9861519,100.00,28,2,0,
2025-12-22,9861519,9861519,100.00,28,2,0,
2025-12-23,9861519,9861519,100.00,28,2,0,
2025-12-24,9861519,9861519,100.00,28,2,0,
2025-12-25,9861519,9861519,100.00,28,2,0,
2025-12-26,9861519,9861519,100.00,28,2,0,
2025-12-27,9861519,9861519,100.00,28,2,0,
2025-12-28,9861519,9861519,100.00,28,2,0,
2025-12-29,9861519,9861519,100.00,28,2,0,
2025-12-30,9861519,9861519,100.00,28,2,0,
2025-12-31,9861519,9861519,100.00,28,2,0,
2026-1-1,9861519,9861519,100.00,28,2,0,
2026-1-2,9861519,9861519,100.00,28,2,0,
2026-1-3,9861519,9861519,100.00,28,2,0,
2026-1-4,9861519,9861519,100.00,28,2,0,
2026-1-5,9861519,9861519,100.00,28,2,0,
2026-1-6,9861519,9861519,100.00,28,2,0,
2026-1-7,9861519,9861519,100.00,28,2,0,
2026-1-8,9861519,9861519,100.00,28,2,0,
2026-1-9,9861519,9861519,100.00,28,2,0,
2026-1-10,9861519,9861519,100.00,28,2,0,
2026-1-11,9861519,9861519,100.00,28,2,0,
2026-1-12,9861519,9861519,100.00,28,2,0,
