day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,10450266,10450266,100.00,28,4,0,
2025-12-15,10450266,10450266,100.00,28,4,0,
2025-12-16,10450266,10450266,100.00,28,4,0,
2025-12-17,10450266,10450266,100.00,28,4,0,
2025-12-18,10450266,10450266,100.00,28,4,0,
2025-12-19,10450266,10450266,100.00,28,4,0,
2025-12-20,10450266,10450266,100.00,28,4,0,
2025-12-21,10450266,10302425,98.59,28,4,1,xcf7l
2025-12-22,10450266,10450266,100.00,28,4,0,
2025-12-23,10450266,10450266,100.00,28,4,0,
2025-12-24,10450266,10450266,100.00,28,4,0,
2025-12-25,10450266,10450266,100.00,28,4,0,
2025-12-26,10450266,10450266,100.00,28,4,0,
2025-12-27,10450266,10450266,100.00,28,4,0,
2025-12-28,10450266,10450266,100.00,28,4,0,
2025-12-29,10450266,10450266,100.00,28,4,0,
2025-12-30,10450266,10450266,100.00,28,4,0,
2025-12-31,10450266,10450266,100.00,28,4,0,
2026-1-1,10450266,10450266,100.00,28,4,0,
2026-1-2,10450266,10450266,100.00,28,4,0,
2026-1-3,10450266,10450266,100.00,28,4,0,
2026-1-4,10450266,10450266,100.00,28,4,0,
2026-1-5,10450266,10450266,100.00,28,4,0,
2026-1-6,10450266,10450266,100.00,28,4,0,
2026-1-7,10450266,10450266,100.00,28,4,0,
2026-1-8,10450266,10450266,100.00,28,4,0,
2026-1-9,10450266,10450266,100.00,28,4,0,
2026-1-10,10450266,10450266,100.00,28,4,0,
2026-1-11,10450266,10450266,100.00,28,4,0,
2026-1-12,10450266,10450266,100.00,28,4,0,
