day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-14,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-15,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-16,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-17,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-18,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-19,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-20,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-21,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-22,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-23,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-24,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-25,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-26,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-27,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-28,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-29,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-30,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-31,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-1,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-2,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-3,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-4,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-5,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-6,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-7,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-8,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-9,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-10,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-11,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-12,3wbrf-zokqb-6euxi-6lxxo-i5tia-4742s-7jfsj-touui-qwzbm-7rmdw-nae,type3.1,"Europe,CH,Solothurn",so1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
