day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-15,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-16,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-17,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-18,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-19,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-20,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-21,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-22,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-23,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-24,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-25,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-26,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-27,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-28,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-29,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-30,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2025-12-31,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-1,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-2,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-3,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-4,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-5,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-6,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-7,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-8,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-9,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-10,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-11,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
2026-1-12,Europe:PT,3,506447.6386036961,0.95,481547.29637234774
