day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-18,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-19,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-20,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-21,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-22,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-23,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-24,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-25,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-26,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-27,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-28,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-29,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-30,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-31,g5s3p-l63zo-lsigy-5u4t5-476io-5m62n-5qmuo-pjgv5-pnq4n-uhxhp-7qe,type3.1,"Europe,CH,Vaud",vd1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
