day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,6978598,6978598,100.00,12,11,0,
2025-12-15,6978598,6978598,100.00,12,11,0,
2025-12-16,6978598,6978598,100.00,12,11,0,
2025-12-17,6978598,6978598,100.00,12,11,0,
2025-12-18,6978598,6978598,100.00,12,11,0,
2025-12-19,6978598,6978598,100.00,12,11,0,
2025-12-20,6978598,6978598,100.00,12,11,0,
2025-12-21,6978598,6978598,100.00,12,11,0,
2025-12-22,6978598,6978598,100.00,12,12,0,
2025-12-23,6978598,6978598,100.00,12,12,0,
2025-12-24,6978598,6978598,100.00,12,12,0,
2025-12-25,6978598,6978598,100.00,12,12,0,
2025-12-26,6978598,6978598,100.00,12,12,0,
2025-12-27,6978598,6978598,100.00,12,12,0,
2025-12-28,6978598,6978598,100.00,12,12,0,
2025-12-29,6978598,6978598,100.00,12,12,0,
2025-12-30,6978598,6978598,100.00,12,12,0,
2025-12-31,6978598,6978598,100.00,12,12,0,
2026-1-1,6978598,6978598,100.00,12,12,0,
2026-1-2,6978598,6978598,100.00,12,12,0,
2026-1-3,6978598,6978598,100.00,12,12,0,
2026-1-4,6978598,6978598,100.00,12,12,0,
2026-1-5,6978598,6941089,99.46,12,12,1,wwpob
2026-1-6,6978598,6978598,100.00,12,12,0,
2026-1-7,6978598,6978598,100.00,12,12,0,
2026-1-8,6978598,6978598,100.00,12,12,0,
2026-1-9,6978598,6978598,100.00,12,12,0,
2026-1-10,6978598,6978598,100.00,12,12,0,
2026-1-11,6978598,6978598,100.00,12,12,0,
2026-1-12,6978598,6978598,100.00,12,12,0,
