day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,4022034,4022034,100.00,6,6,0,
2025-12-15,4022034,4022034,100.00,6,6,0,
2025-12-16,4022034,4022034,100.00,6,6,0,
2025-12-17,4022034,4022034,100.00,6,6,0,
2025-12-18,4022034,4022034,100.00,6,6,0,
2025-12-19,4022034,4022034,100.00,6,6,0,
2025-12-20,4022034,4022034,100.00,6,6,0,
2025-12-21,4022034,4022034,100.00,6,6,0,
2025-12-22,4022034,4022034,100.00,6,6,0,
2025-12-23,4022034,4022034,100.00,6,6,0,
2025-12-24,4022034,4022034,100.00,6,6,0,
2025-12-25,4022034,4022034,100.00,6,6,0,
2025-12-26,4022034,4022034,100.00,6,6,0,
2025-12-27,4022034,4022034,100.00,6,6,0,
2025-12-28,4022034,4022034,100.00,6,6,0,
2025-12-29,4022034,4022034,100.00,6,6,0,
2025-12-30,4022034,4022034,100.00,6,6,0,
2025-12-31,4022034,4022034,100.00,6,6,0,
2026-1-1,4022034,4022034,100.00,6,6,0,
2026-1-2,4022034,4022034,100.00,6,6,0,
2026-1-3,4022034,4022034,100.00,6,6,0,
2026-1-4,4022034,4022034,100.00,6,6,0,
2026-1-5,4022034,4022034,100.00,6,6,0,
2026-1-6,4022034,4022034,100.00,6,6,0,
2026-1-7,4022034,4022034,100.00,6,6,0,
2026-1-8,4022034,4022034,100.00,6,6,0,
2026-1-9,4022034,4022034,100.00,6,6,0,
2026-1-10,4022034,4022034,100.00,6,6,0,
2026-1-11,4022034,4022034,100.00,6,6,0,
2026-1-12,4022034,4022034,100.00,6,6,0,
