node_id,day_utc,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-14,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.003153153153153153,4376,20,0.004549590536851684,0.0013964373836985304,
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-15,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0025,4141,249,0.056719817767653766,0.05421981776765376,
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-16,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0016758439071103664,4226,68,0.015836050302748022,0.014160206395637654,
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-17,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.002817562808170932,4263,32,0.007450523864959255,0.004632961056788323,
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-18,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0027662517289073307,4259,66,0.015260115606936417,0.012493863878029086,
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-19,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0013608528010886822,4483,40,0.008843687817820032,0.007482835016731349,
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-20,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0018219084491004327,4581,17,0.003697259678120922,0.0018753512290204896,
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-21,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0018120045300113253,4457,34,0.007570696949454465,0.00575869241944314,
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-22,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.00277713492247165,4337,109,0.02451641925326136,0.02173928433078971,
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-23,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0020389669234254647,4344,96,0.021621621621621623,0.01958265469819616,
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-24,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0015912707433507617,4443,49,0.010908281389136243,0.00931701064578548,
7pvxh-37ula-relu7-uim72-jvx46-dcnvm-52zsf-vkqzm-xsjoy-4xf4l-hqe,2025-12-25,type3.1,"South America,CO,Bogota",bg1,Assigned,1,729469.0799353183,729469.0799353183,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,0.0038671519563239307,4377,27,0.006130790190735695,0.002263638234411764,
