day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,2917876,2917876,100.00,4,4,0,
2025-12-15,2917876,2917876,100.00,4,4,0,
2025-12-16,2917876,2917876,100.00,4,4,0,
2025-12-17,2917876,2917876,100.00,4,4,0,
2025-12-18,2917876,2917876,100.00,4,4,0,
2025-12-19,2917876,2917876,100.00,4,4,0,
2025-12-20,2917876,2917876,100.00,4,4,0,
2025-12-21,2917876,2917876,100.00,4,4,0,
2025-12-22,2917876,2917876,100.00,4,4,0,
2025-12-23,2917876,2917876,100.00,4,4,0,
2025-12-24,2917876,2917876,100.00,4,4,0,
2025-12-25,2917876,2917876,100.00,4,4,0,
2025-12-26,2917876,2917876,100.00,4,4,0,
2025-12-27,2917876,2917876,100.00,4,4,0,
2025-12-28,2917876,2917876,100.00,4,4,0,
2025-12-29,2917876,2917876,100.00,4,4,0,
2025-12-30,2917876,2917876,100.00,4,4,0,
2025-12-31,2917876,2917876,100.00,4,4,0,
2026-1-1,2917876,2917876,100.00,4,4,0,
2026-1-2,2917876,2917876,100.00,4,4,0,
2026-1-3,2917876,2917876,100.00,4,4,0,
2026-1-4,2917876,2917876,100.00,4,4,0,
2026-1-5,2917876,2917876,100.00,4,4,0,
2026-1-6,2917876,2917876,100.00,4,4,0,
2026-1-7,2917876,2917876,100.00,4,4,0,
2026-1-8,2917876,2917876,100.00,4,4,0,
2026-1-9,2917876,2917876,100.00,4,4,0,
2026-1-10,2917876,2917876,100.00,4,4,0,
2026-1-11,2917876,2917876,100.00,4,4,0,
2026-1-12,2917876,2917876,100.00,4,4,0,
