day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-15,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-16,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-17,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-18,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-19,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-20,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-21,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-22,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-23,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-24,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-25,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-26,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-27,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-28,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-29,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-30,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2025-12-31,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-1,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-2,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-3,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-4,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-5,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-6,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-7,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-8,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-9,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-10,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-11,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
2026-1-12,Asia:IN,2,689623.5564681725,0.95,672382.9675564682
