day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-14,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-14,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-15,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-15,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-15,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-16,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-16,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-16,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-17,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-17,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-17,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-18,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-18,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-18,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-19,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-19,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-19,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-20,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-20,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-20,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-21,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-21,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-21,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-22,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-22,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-22,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-23,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-23,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-23,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-24,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-24,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-24,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-25,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-25,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-25,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-26,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-26,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-26,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-27,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-27,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-27,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-28,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-28,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-28,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-29,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-29,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-29,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-30,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-30,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-30,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2025-12-31,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
2025-12-31,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-31,21572292,708740.5995893223,type3.1,"Asia,KR,Seoul"
2026-1-1,25317500,831786.4476386037,type3,"Asia,HK,HongKong"
