day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,18164669,18164669,100.00,36,24,0,
2025-12-15,18164669,18164669,100.00,36,24,0,
2025-12-16,18164669,18164669,100.00,36,24,0,
2025-12-17,18164669,18164669,100.00,36,24,0,
2025-12-18,18164669,18164669,100.00,36,24,0,
2025-12-19,18164669,18143359,99.88,36,24,1,mhfef
2025-12-20,18164669,18164669,100.00,36,24,0,
2025-12-21,18164669,18149678,99.92,36,24,1,mhfef
2025-12-22,18164669,18164669,100.00,36,24,0,
2025-12-23,18164669,18164669,100.00,36,24,0,
2025-12-24,18164669,18159843,99.97,36,24,1,td2et
2025-12-25,18164669,18164669,100.00,36,24,0,
2025-12-26,18164669,18110601,99.70,36,24,2,"mhfef, td2et"
2025-12-27,18164669,18164669,100.00,36,24,0,
2025-12-28,18164669,18164669,100.00,36,24,0,
2025-12-29,18164669,18164669,100.00,36,24,0,
2025-12-30,18164669,18164669,100.00,36,24,0,
2025-12-31,18164669,18164669,100.00,36,24,0,
2026-1-1,18164669,18164669,100.00,36,24,0,
2026-1-2,18164669,18164669,100.00,36,24,0,
2026-1-3,18164669,18164669,100.00,36,24,0,
2026-1-4,18164669,18164669,100.00,36,24,0,
2026-1-5,18164669,18164669,100.00,36,24,0,
2026-1-6,18164669,18164669,100.00,36,24,0,
2026-1-7,18164669,18158370,99.97,36,24,1,qtcl6
2026-1-8,18164669,18164669,100.00,36,24,0,
2026-1-9,18164669,18164669,100.00,36,24,0,
2026-1-10,18164669,18164669,100.00,36,24,0,
2026-1-11,18164669,18164669,100.00,36,24,0,
2026-1-12,18164669,18164669,100.00,36,24,0,
