day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-15,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-16,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-17,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-18,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-19,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-20,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-21,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-22,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-23,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-24,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-25,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-26,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-27,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-28,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-29,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-30,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2025-12-31,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-1,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-2,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-3,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-4,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-5,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-6,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-7,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-8,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-9,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-10,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-11,South America:AR,4,786516.0739219713,0.95,729469.0799353183
2026-1-12,South America:AR,4,786516.0739219713,0.95,729469.0799353183
