day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-15,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-16,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-17,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-18,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-19,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-20,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-21,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-22,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-23,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-24,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-25,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-26,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-27,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-28,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-29,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-30,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2025-12-31,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-1,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-2,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-3,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-4,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-5,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-6,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-7,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-8,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-9,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-10,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-11,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
2026-1-12,11880000,390308.00821355236,type1.1,"Asia,JP,Tokyo"
