day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,16392936,16392936,100.00,42,22,0,
2025-12-15,16392936,16392936,100.00,42,22,0,
2025-12-16,16392936,16392936,100.00,42,22,0,
2025-12-17,15612320,15612320,100.00,40,22,0,
2025-12-18,15612320,15612320,100.00,40,22,0,
2025-12-19,15612320,15612320,100.00,40,22,0,
2025-12-20,15612320,15612320,100.00,40,22,0,
2025-12-21,15612320,15612320,100.00,40,22,0,
2025-12-22,15612320,15612320,100.00,40,22,0,
2025-12-23,15612320,15612320,100.00,40,22,0,
2025-12-24,15612320,15612320,100.00,40,22,0,
2025-12-25,15612320,15612320,100.00,40,22,0,
2025-12-26,15612320,15612320,100.00,40,22,0,
2025-12-27,15612320,15612320,100.00,40,22,0,
2025-12-28,15612320,15612320,100.00,40,22,0,
2025-12-29,15612320,15612320,100.00,40,22,0,
2025-12-30,15612320,15612320,100.00,40,22,0,
2025-12-31,15612320,15612320,100.00,40,22,0,
2026-1-1,15612320,15612320,100.00,40,22,0,
2026-1-2,15612320,15612320,100.00,40,22,0,
2026-1-3,15612320,15612320,100.00,40,22,0,
2026-1-4,15612320,15612320,100.00,40,22,0,
2026-1-5,15612320,15612320,100.00,40,22,0,
2026-1-6,15612320,15612320,100.00,40,22,0,
2026-1-7,15612320,15612320,100.00,40,22,0,
2026-1-8,15612320,15612320,100.00,40,22,0,
2026-1-9,15612320,15612320,100.00,40,22,0,
2026-1-10,15612320,15612320,100.00,40,22,0,
2026-1-11,15612320,15612320,100.00,40,22,0,
2026-1-12,15612320,15527673,99.46,40,22,1,nyo3z
